step_id,time,Desired_pressure_segment_1,Desired_pressure_segment_2,Desired_pressure_segment_3,Desired_pressure_segment_4,Measured_pressure_Segment_1_pouch_1,Measured_pressure_Segment_1_pouch_2,Measured_pressure_Segment_1_pouch_3,Measured_pressure_Segment_1_pouch_4,Measured_pressure_Segment_1_pouch_5,Measured_pressure_Segment_2,Measured_pressure_Segment_3,Measured_pressure_Segment_4,Rigid_body_1_x,Rigid_body_1_y,Rigid_body_1_z,Rigid_body_1_qx,Rigid_body_1_qy,Rigid_body_1_qz,Rigid_body_1_qw,Rigid_body_2_x,Rigid_body_2_y,Rigid_body_2_z,Rigid_body_2_qx,Rigid_body_2_qy,Rigid_body_2_qz,Rigid_body_2_qw,Rigid_body_3_x,Rigid_body_3_y,Rigid_body_3_z,Rigid_body_3_qx,Rigid_body_3_qy,Rigid_body_3_qz,Rigid_body_3_qw,mocap_time_rel_s,config_seg1_psi,config_max_psi
0.0,0.013091254,2.0,2.0,2.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,0.278122,1.230431,0.362379,1.4e-05,5.1e-05,-0.000117,1.0,0.249103,1.117679,0.360758,0.003223,-0.00075,0.001947,0.999993,0.285656,0.785035,0.386826,0.094519,-0.00098,-0.034471,0.994926,0.005976095,2.0,0.0
1.0,0.029221779,2.0,2.0,2.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,0.278126,1.230434,0.362375,1.8e-05,5.2e-05,-0.00012,1.0,0.249098,1.11768,0.36076,0.0032,-0.000773,0.00196,0.999993,0.285692,0.785068,0.386865,0.094244,-0.001007,-0.034412,0.994954,0.022657104,2.0,0.0
2.0,0.03867702,2.0,2.0,2.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,0.278126,1.230434,0.362375,1.8e-05,5.2e-05,-0.00012,1.0,0.249098,1.11768,0.36076,0.0032,-0.000773,0.00196,0.999993,0.285692,0.785068,0.386865,0.094244,-0.001007,-0.034412,0.994954,0.022657104,2.0,0.0
3.0,0.046188395,2.0,2.0,2.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,0.278124,1.230434,0.362378,2.1e-05,5e-05,-0.000118,1.0,0.249104,1.117681,0.360762,0.003239,-0.000754,0.001973,0.999993,0.285821,0.785215,0.387117,0.093396,-0.001121,-0.034221,0.99504,0.04610366,2.0,0.0
4.0,0.05710758,2.0,2.0,2.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,0.278124,1.230434,0.362378,2.1e-05,5e-05,-0.000118,1.0,0.249104,1.117681,0.360762,0.003239,-0.000754,0.001973,0.999993,0.285821,0.785215,0.387117,0.093396,-0.001121,-0.034221,0.99504,0.04610366,2.0,0.0
5.0,0.07544222,2.0,2.0,2.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,0.278121,1.230434,0.362377,1.7e-05,5.1e-05,-0.000115,1.0,0.249106,1.117678,0.36076,0.003223,-0.000747,0.001963,0.999993,0.285855,0.785278,0.387187,0.093127,-0.00114,-0.034157,0.995068,0.0694783,2.0,0.0
6.0,0.07549397,2.0,2.0,2.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,0.278121,1.230434,0.362377,1.7e-05,5.1e-05,-0.000115,1.0,0.249106,1.117678,0.36076,0.003223,-0.000747,0.001963,0.999993,0.285855,0.785278,0.387187,0.093127,-0.00114,-0.034157,0.995068,0.0694783,2.0,0.0
7.0,0.10540317,2.0,2.0,2.0,2.0,2.0045,2.0001054,2.0042892,2.00283,2.0063105,0.12132031,0.33408594,0.26101366,0.278119,1.230434,0.362372,1.7e-05,4.1e-05,-0.000114,1.0,0.249106,1.117678,0.360761,0.00321,-0.00076,0.001961,0.999993,0.285908,0.785388,0.387318,0.092649,-0.001162,-0.034035,0.995116,0.09472528,2.0,0.0
8.0,0.10557641,2.0,2.0,2.0,2.0,2.0045,2.0001054,2.0042892,2.00283,2.0063105,0.12132031,0.33408594,0.26101366,0.278119,1.230434,0.362372,1.7e-05,4.1e-05,-0.000114,1.0,0.249106,1.117678,0.360761,0.00321,-0.00076,0.001961,0.999993,0.285908,0.785388,0.387318,0.092649,-0.001162,-0.034035,0.995116,0.09472528,2.0,0.0
9.0,0.105619155,2.0,2.0,2.0,2.0,2.0045,2.0001054,2.0042892,2.00283,2.0063105,0.12132031,0.33408594,0.26101366,0.278119,1.230434,0.362372,1.7e-05,4.1e-05,-0.000114,1.0,0.249106,1.117678,0.360761,0.00321,-0.00076,0.001961,0.999993,0.285908,0.785388,0.387318,0.092649,-0.001162,-0.034035,0.995116,0.09472528,2.0,0.0
