step_id,time,Desired_pressure_segment_1,Desired_pressure_segment_2,Desired_pressure_segment_3,Desired_pressure_segment_4,Measured_pressure_Segment_1_pouch_1,Measured_pressure_Segment_1_pouch_2,Measured_pressure_Segment_1_pouch_3,Measured_pressure_Segment_1_pouch_4,Measured_pressure_Segment_1_pouch_5,Measured_pressure_Segment_2,Measured_pressure_Segment_3,Measured_pressure_Segment_4,Rigid_body_1_x,Rigid_body_1_y,Rigid_body_1_z,Rigid_body_1_qx,Rigid_body_1_qy,Rigid_body_1_qz,Rigid_body_1_qw,Rigid_body_2_x,Rigid_body_2_y,Rigid_body_2_z,Rigid_body_2_qx,Rigid_body_2_qy,Rigid_body_2_qz,Rigid_body_2_qw,Rigid_body_3_x,Rigid_body_3_y,Rigid_body_3_z,Rigid_body_3_qx,Rigid_body_3_qy,Rigid_body_3_qz,Rigid_body_3_qw,mocap_time_rel_s
0.0,0.004315314,3.0,1.0,1.0,1.0,,,,,,,,,0.261702,1.22968,0.362952,-0.001335,0.007098,-0.003148,0.999969,0.231794,1.120084,0.360286,0.000562,0.00234,0.000596,0.999997,0.264376,0.807489,0.373957,0.970112,0.051003,-0.220142,-0.088422,-0.014172245
1.0,0.083429955,3.0,1.0,1.0,1.0,0.00038194,-0.00178819,0.00427083,-0.00189236,-5.208e-05,-0.01015625,-0.01354167,-0.00020833,0.261706,1.229684,0.362952,-0.001328,0.007093,-0.003152,0.999969,0.231792,1.120087,0.360282,0.000549,0.002339,0.00061,0.999997,0.264385,0.807488,0.373954,0.970111,0.050987,-0.220153,-0.088421,0.06268826
2.0,0.083475545,3.0,1.0,1.0,1.0,0.00038194,-0.00178819,0.00427083,-0.00189236,-5.208e-05,-0.01015625,-0.01354167,-0.00020833,0.261706,1.229684,0.362952,-0.001328,0.007093,-0.003152,0.999969,0.231792,1.120087,0.360282,0.000549,0.002339,0.00061,0.999997,0.264385,0.807488,0.373954,0.970111,0.050987,-0.220153,-0.088421,0.06268826
3.0,0.08349705,3.0,1.0,1.0,1.0,0.00038194,-0.00178819,0.00427083,-0.00189236,-5.208e-05,-0.01015625,-0.01354167,-0.00020833,0.261706,1.229684,0.362952,-0.001328,0.007093,-0.003152,0.999969,0.231792,1.120087,0.360282,0.000549,0.002339,0.00061,0.999997,0.264385,0.807488,0.373954,0.970111,0.050987,-0.220153,-0.088421,0.06268826
4.0,0.08352429,3.0,1.0,1.0,1.0,0.00038194,-0.00178819,0.00427083,-0.00189236,-5.208e-05,-0.01015625,-0.01354167,-0.00020833,0.261706,1.229684,0.362952,-0.001328,0.007093,-0.003152,0.999969,0.231792,1.120087,0.360282,0.000549,0.002339,0.00061,0.999997,0.264385,0.807488,0.373954,0.970111,0.050987,-0.220153,-0.088421,0.06268826
5.0,0.083539344,3.0,1.0,1.0,1.0,0.00038194,-0.00178819,0.00427083,-0.00189236,-5.208e-05,-0.01015625,-0.01354167,-0.00020833,0.261706,1.229684,0.362952,-0.001328,0.007093,-0.003152,0.999969,0.231792,1.120087,0.360282,0.000549,0.002339,0.00061,0.999997,0.264385,0.807488,0.373954,0.970111,0.050987,-0.220153,-0.088421,0.06268826
6.0,0.0835554,3.0,1.0,1.0,1.0,0.00038194,-0.00178819,0.00427083,-0.00189236,-5.208e-05,-0.01015625,-0.01354167,-0.00020833,0.261706,1.229684,0.362952,-0.001328,0.007093,-0.003152,0.999969,0.231792,1.120087,0.360282,0.000549,0.002339,0.00061,0.999997,0.264385,0.807488,0.373954,0.970111,0.050987,-0.220153,-0.088421,0.06268826
7.0,0.08357009,3.0,1.0,1.0,1.0,0.00038194,-0.00178819,0.00427083,-0.00189236,-5.208e-05,-0.01015625,-0.01354167,-0.00020833,0.261706,1.229684,0.362952,-0.001328,0.007093,-0.003152,0.999969,0.231792,1.120087,0.360282,0.000549,0.002339,0.00061,0.999997,0.264385,0.807488,0.373954,0.970111,0.050987,-0.220153,-0.088421,0.06268826
8.0,0.085412614,3.0,1.0,1.0,1.0,0.00038194,-0.00178819,0.00427083,-0.00189236,-5.208e-05,-0.01015625,-0.01354167,-0.00020833,0.261706,1.229684,0.362952,-0.001328,0.007093,-0.003152,0.999969,0.231792,1.120087,0.360282,0.000549,0.002339,0.00061,0.999997,0.264385,0.807488,0.373954,0.970111,0.050987,-0.220153,-0.088421,0.06268826
9.0,0.09543617,3.0,1.0,1.0,1.0,0.00038194,-0.00178819,0.00427083,-0.00189236,-5.208e-05,-0.01015625,-0.01354167,-0.00020833,0.261706,1.229684,0.362952,-0.001328,0.007093,-0.003152,0.999969,0.231792,1.120087,0.360282,0.000549,0.002339,0.00061,0.999997,0.264385,0.807488,0.373954,0.970111,0.050987,-0.220153,-0.088421,0.06268826
