step_id,time,Desired_pressure_segment_1,Desired_pressure_segment_2,Desired_pressure_segment_3,Desired_pressure_segment_4,Measured_pressure_Segment_1_pouch_1,Measured_pressure_Segment_1_pouch_2,Measured_pressure_Segment_1_pouch_3,Measured_pressure_Segment_1_pouch_4,Measured_pressure_Segment_1_pouch_5,Measured_pressure_Segment_2,Measured_pressure_Segment_3,Measured_pressure_Segment_4,Rigid_body_1_x,Rigid_body_1_y,Rigid_body_1_z,Rigid_body_1_qx,Rigid_body_1_qy,Rigid_body_1_qz,Rigid_body_1_qw,Rigid_body_2_x,Rigid_body_2_y,Rigid_body_2_z,Rigid_body_2_qx,Rigid_body_2_qy,Rigid_body_2_qz,Rigid_body_2_qw,Rigid_body_3_x,Rigid_body_3_y,Rigid_body_3_z,Rigid_body_3_qx,Rigid_body_3_qy,Rigid_body_3_qz,Rigid_body_3_qw,mocap_time_rel_s
0.0,0.008381646,1.0,1.0,1.0,1.0,,,,,,,,,0.262217,1.229856,0.362812,-0.000909,0.007264,-0.002399,0.99997,0.234153,1.121088,0.358905,-0.989682,-0.070421,0.124687,0.004798,0.27025,0.811839,0.386455,-0.047581,-0.008077,0.01843,-0.998665,-0.013004115
1.0,0.09897388,1.0,1.0,1.0,1.0,0.00311133,-0.00070312,5.273e-05,0.00284766,-0.00200391,0.00425391,-0.0004043,-0.00098437,0.262214,1.229854,0.362809,-0.0009,0.007262,-0.002388,0.99997,0.234153,1.121088,0.358905,-0.989682,-0.070421,0.124687,0.004798,0.270252,0.811837,0.386456,-0.04757,-0.008079,0.018415,-0.998665,0.08179043
2.0,0.099101074,1.0,1.0,1.0,1.0,0.00311133,-0.00070312,5.273e-05,0.00284766,-0.00200391,0.00425391,-0.0004043,-0.00098437,0.262214,1.229854,0.362809,-0.0009,0.007262,-0.002388,0.99997,0.234153,1.121088,0.358905,-0.989682,-0.070421,0.124687,0.004798,0.270252,0.811837,0.386456,-0.04757,-0.008079,0.018415,-0.998665,0.08179043
3.0,0.09914372,1.0,1.0,1.0,1.0,0.00311133,-0.00070312,5.273e-05,0.00284766,-0.00200391,0.00425391,-0.0004043,-0.00098437,0.262214,1.229854,0.362809,-0.0009,0.007262,-0.002388,0.99997,0.234153,1.121088,0.358905,-0.989682,-0.070421,0.124687,0.004798,0.270252,0.811837,0.386456,-0.04757,-0.008079,0.018415,-0.998665,0.08179043
4.0,0.099172704,1.0,1.0,1.0,1.0,0.00311133,-0.00070312,5.273e-05,0.00284766,-0.00200391,0.00425391,-0.0004043,-0.00098437,0.262214,1.229854,0.362809,-0.0009,0.007262,-0.002388,0.99997,0.234153,1.121088,0.358905,-0.989682,-0.070421,0.124687,0.004798,0.270252,0.811837,0.386456,-0.04757,-0.008079,0.018415,-0.998665,0.08179043
5.0,0.09920241,1.0,1.0,1.0,1.0,0.00311133,-0.00070312,5.273e-05,0.00284766,-0.00200391,0.00425391,-0.0004043,-0.00098437,0.262214,1.229854,0.362809,-0.0009,0.007262,-0.002388,0.99997,0.234153,1.121088,0.358905,-0.989682,-0.070421,0.124687,0.004798,0.270252,0.811837,0.386456,-0.04757,-0.008079,0.018415,-0.998665,0.08179043
6.0,0.09923094,1.0,1.0,1.0,1.0,0.00311133,-0.00070312,5.273e-05,0.00284766,-0.00200391,0.00425391,-0.0004043,-0.00098437,0.262214,1.229854,0.362809,-0.0009,0.007262,-0.002388,0.99997,0.234153,1.121088,0.358905,-0.989682,-0.070421,0.124687,0.004798,0.270252,0.811837,0.386456,-0.04757,-0.008079,0.018415,-0.998665,0.08179043
7.0,0.09924548,1.0,1.0,1.0,1.0,0.00311133,-0.00070312,5.273e-05,0.00284766,-0.00200391,0.00425391,-0.0004043,-0.00098437,0.262214,1.229854,0.362809,-0.0009,0.007262,-0.002388,0.99997,0.234153,1.121088,0.358905,-0.989682,-0.070421,0.124687,0.004798,0.270252,0.811837,0.386456,-0.04757,-0.008079,0.018415,-0.998665,0.08179043
8.0,0.09926044,1.0,1.0,1.0,1.0,0.00311133,-0.00070312,5.273e-05,0.00284766,-0.00200391,0.00425391,-0.0004043,-0.00098437,0.262214,1.229854,0.362809,-0.0009,0.007262,-0.002388,0.99997,0.234153,1.121088,0.358905,-0.989682,-0.070421,0.124687,0.004798,0.270252,0.811837,0.386456,-0.04757,-0.008079,0.018415,-0.998665,0.08179043
9.0,0.09927546,1.0,1.0,1.0,1.0,0.00311133,-0.00070312,5.273e-05,0.00284766,-0.00200391,0.00425391,-0.0004043,-0.00098437,0.262214,1.229854,0.362809,-0.0009,0.007262,-0.002388,0.99997,0.234153,1.121088,0.358905,-0.989682,-0.070421,0.124687,0.004798,0.270252,0.811837,0.386456,-0.04757,-0.008079,0.018415,-0.998665,0.08179043
