step_id,time,Desired_pressure_segment_1,Desired_pressure_segment_2,Desired_pressure_segment_3,Desired_pressure_segment_4,Measured_pressure_Segment_1_pouch_1,Measured_pressure_Segment_1_pouch_2,Measured_pressure_Segment_1_pouch_3,Measured_pressure_Segment_1_pouch_4,Measured_pressure_Segment_1_pouch_5,Measured_pressure_Segment_2,Measured_pressure_Segment_3,Measured_pressure_Segment_4,Rigid_body_1_x,Rigid_body_1_y,Rigid_body_1_z,Rigid_body_1_qx,Rigid_body_1_qy,Rigid_body_1_qz,Rigid_body_1_qw,Rigid_body_2_x,Rigid_body_2_y,Rigid_body_2_z,Rigid_body_2_qx,Rigid_body_2_qy,Rigid_body_2_qz,Rigid_body_2_qw,Rigid_body_3_x,Rigid_body_3_y,Rigid_body_3_z,Rigid_body_3_qx,Rigid_body_3_qy,Rigid_body_3_qz,Rigid_body_3_qw,mocap_time_rel_s
0.0,0.01006043,3.0,1.0,1.0,1.0,,,,,,,,,0.261638,1.229677,0.363309,-0.00165,0.007212,-0.003278,0.999967,0.231861,1.120312,0.360774,0.990705,0.065138,-0.119398,-0.00218,0.267591,0.809615,0.388504,-0.043535,-0.006921,0.023901,-0.998742,-0.007824756
1.0,0.060521215,3.0,1.0,1.0,1.0,,,,,,,,,0.261632,1.229679,0.363308,-0.001644,0.007218,-0.003273,0.999967,0.23185,1.120309,0.360771,0.990703,0.065121,-0.119424,-0.002163,0.267591,0.809604,0.388499,-0.04356,-0.006926,0.023906,-0.998741,0.05469464
2.0,0.06059212,3.0,1.0,1.0,1.0,,,,,,,,,0.261632,1.229679,0.363308,-0.001644,0.007218,-0.003273,0.999967,0.23185,1.120309,0.360771,0.990703,0.065121,-0.119424,-0.002163,0.267591,0.809604,0.388499,-0.04356,-0.006926,0.023906,-0.998741,0.05469464
3.0,0.06060838,3.0,1.0,1.0,1.0,,,,,,,,,0.261632,1.229679,0.363308,-0.001644,0.007218,-0.003273,0.999967,0.23185,1.120309,0.360771,0.990703,0.065121,-0.119424,-0.002163,0.267591,0.809604,0.388499,-0.04356,-0.006926,0.023906,-0.998741,0.05469464
4.0,0.06062157,3.0,1.0,1.0,1.0,,,,,,,,,0.261632,1.229679,0.363308,-0.001644,0.007218,-0.003273,0.999967,0.23185,1.120309,0.360771,0.990703,0.065121,-0.119424,-0.002163,0.267591,0.809604,0.388499,-0.04356,-0.006926,0.023906,-0.998741,0.05469464
5.0,0.06063297,3.0,1.0,1.0,1.0,,,,,,,,,0.261632,1.229679,0.363308,-0.001644,0.007218,-0.003273,0.999967,0.23185,1.120309,0.360771,0.990703,0.065121,-0.119424,-0.002163,0.267591,0.809604,0.388499,-0.04356,-0.006926,0.023906,-0.998741,0.05469464
6.0,0.07589518,3.0,1.0,1.0,1.0,0.00397266,-7.031e-05,-0.00043945,0.00448242,0.00087891,-0.00341016,-0.00043945,-0.0009668,0.261632,1.229679,0.363308,-0.001644,0.007218,-0.003273,0.999967,0.23185,1.120309,0.360771,0.990703,0.065121,-0.119424,-0.002163,0.267591,0.809604,0.388499,-0.04356,-0.006926,0.023906,-0.998741,0.05469464
7.0,0.09407786,3.0,1.0,1.0,1.0,0.00397266,-7.031e-05,-0.00043945,0.00448242,0.00087891,-0.00341016,-0.00043945,-0.0009668,0.261631,1.229681,0.363308,-0.00164,0.007217,-0.00327,0.999967,0.231856,1.120303,0.360772,0.990705,0.065102,-0.119416,-0.002158,0.267593,0.809607,0.388498,-0.043579,-0.006929,0.023903,-0.99874,0.086093664
8.0,0.09413574,3.0,1.0,1.0,1.0,0.00397266,-7.031e-05,-0.00043945,0.00448242,0.00087891,-0.00341016,-0.00043945,-0.0009668,0.261631,1.229681,0.363308,-0.00164,0.007217,-0.00327,0.999967,0.231856,1.120303,0.360772,0.990705,0.065102,-0.119416,-0.002158,0.267593,0.809607,0.388498,-0.043579,-0.006929,0.023903,-0.99874,0.086093664
9.0,0.10826718,3.0,1.0,1.0,1.0,0.00397266,-7.031e-05,-0.00043945,0.00448242,0.00087891,-0.00341016,-0.00043945,-0.0009668,0.261631,1.229681,0.363308,-0.00164,0.007217,-0.00327,0.999967,0.231856,1.120303,0.360772,0.990705,0.065102,-0.119416,-0.002158,0.267593,0.809607,0.388498,-0.043579,-0.006929,0.023903,-0.99874,0.086093664
10.0,0.11017619,3.0,1.0,1.0,1.0,0.00397266,-7.031e-05,-0.00043945,0.00448242,0.00087891,-0.00341016,-0.00043945,-0.0009668,0.261634,1.229677,0.36331,-0.001644,0.007211,-0.003279,0.999967,0.231855,1.120304,0.360776,0.990708,0.065094,-0.119398,-0.002138,0.26759,0.809608,0.388501,-0.043574,-0.006929,0.023904,-0.99874,0.10845654
11.0,0.12235158,3.0,1.0,1.0,1.0,0.00397266,-7.031e-05,-0.00043945,0.00448242,0.00087891,-0.00341016,-0.00043945,-0.0009668,0.261634,1.229677,0.36331,-0.001644,0.007211,-0.003279,0.999967,0.231855,1.120304,0.360776,0.990708,0.065094,-0.119398,-0.002138,0.26759,0.809608,0.388501,-0.043574,-0.006929,0.023904,-0.99874,0.10845654
12.0,0.13531898,3.0,1.0,1.0,1.0,0.00397266,-7.031e-05,-0.00043945,0.00448242,0.00087891,-0.00341016,-0.00043945,-0.0009668,0.261634,1.229677,0.36331,-0.001644,0.007211,-0.003279,0.999967,0.231855,1.120304,0.360776,0.990708,0.065094,-0.119398,-0.002138,0.26759,0.809608,0.388501,-0.043574,-0.006929,0.023904,-0.99874,0.10845654
