step_id,time,Desired_pressure_segment_1,Desired_pressure_segment_2,Desired_pressure_segment_3,Desired_pressure_segment_4,Measured_pressure_Segment_1_pouch_1,Measured_pressure_Segment_1_pouch_2,Measured_pressure_Segment_1_pouch_3,Measured_pressure_Segment_1_pouch_4,Measured_pressure_Segment_1_pouch_5,Measured_pressure_Segment_2,Measured_pressure_Segment_3,Measured_pressure_Segment_4,Rigid_body_1_x,Rigid_body_1_y,Rigid_body_1_z,Rigid_body_1_qx,Rigid_body_1_qy,Rigid_body_1_qz,Rigid_body_1_qw,Rigid_body_2_x,Rigid_body_2_y,Rigid_body_2_z,Rigid_body_2_qx,Rigid_body_2_qy,Rigid_body_2_qz,Rigid_body_2_qw,Rigid_body_3_x,Rigid_body_3_y,Rigid_body_3_z,Rigid_body_3_qx,Rigid_body_3_qy,Rigid_body_3_qz,Rigid_body_3_qw,mocap_time_rel_s
0.0,0.010276114,1.0,1.0,1.0,1.0,,,,,,,,,0.261697,1.229746,0.363008,-0.001348,0.006998,-0.003029,0.99997,0.230532,1.120362,0.359929,-0.002059,0.001052,0.001238,0.999997,0.265101,0.817384,0.37391,-0.086657,-0.007288,0.0306,-0.995741,-0.00935725
1.0,0.09998557,1.0,1.0,1.0,1.0,0.00406055,-0.00036914,-0.00058008,-0.00174023,-0.00091406,-0.00435938,-0.00813867,-0.00573047,0.2617,1.22974,0.363009,-0.001358,0.006989,-0.003038,0.99997,0.230541,1.120364,0.35993,-0.002064,0.00102,0.001238,0.999997,0.265102,0.817383,0.373916,-0.086648,-0.007293,0.0306,-0.995742,0.09879917
2.0,0.10003472,1.0,1.0,1.0,1.0,0.00406055,-0.00036914,-0.00058008,-0.00174023,-0.00091406,-0.00435938,-0.00813867,-0.00573047,0.2617,1.22974,0.363009,-0.001358,0.006989,-0.003038,0.99997,0.230541,1.120364,0.35993,-0.002064,0.00102,0.001238,0.999997,0.265102,0.817383,0.373916,-0.086648,-0.007293,0.0306,-0.995742,0.09879917
3.0,0.100054674,1.0,1.0,1.0,1.0,0.00406055,-0.00036914,-0.00058008,-0.00174023,-0.00091406,-0.00435938,-0.00813867,-0.00573047,0.2617,1.22974,0.363009,-0.001358,0.006989,-0.003038,0.99997,0.230541,1.120364,0.35993,-0.002064,0.00102,0.001238,0.999997,0.265102,0.817383,0.373916,-0.086648,-0.007293,0.0306,-0.995742,0.09879917
4.0,0.10007244,1.0,1.0,1.0,1.0,0.00406055,-0.00036914,-0.00058008,-0.00174023,-0.00091406,-0.00435938,-0.00813867,-0.00573047,0.2617,1.22974,0.363009,-0.001358,0.006989,-0.003038,0.99997,0.230541,1.120364,0.35993,-0.002064,0.00102,0.001238,0.999997,0.265102,0.817383,0.373916,-0.086648,-0.007293,0.0306,-0.995742,0.09879917
5.0,0.10008957,1.0,1.0,1.0,1.0,0.00406055,-0.00036914,-0.00058008,-0.00174023,-0.00091406,-0.00435938,-0.00813867,-0.00573047,0.2617,1.22974,0.363009,-0.001358,0.006989,-0.003038,0.99997,0.230541,1.120364,0.35993,-0.002064,0.00102,0.001238,0.999997,0.265102,0.817383,0.373916,-0.086648,-0.007293,0.0306,-0.995742,0.09879917
6.0,0.10010248,1.0,1.0,1.0,1.0,0.00406055,-0.00036914,-0.00058008,-0.00174023,-0.00091406,-0.00435938,-0.00813867,-0.00573047,0.2617,1.22974,0.363009,-0.001358,0.006989,-0.003038,0.99997,0.230541,1.120364,0.35993,-0.002064,0.00102,0.001238,0.999997,0.265102,0.817383,0.373916,-0.086648,-0.007293,0.0306,-0.995742,0.09879917
7.0,0.100111336,1.0,1.0,1.0,1.0,0.00406055,-0.00036914,-0.00058008,-0.00174023,-0.00091406,-0.00435938,-0.00813867,-0.00573047,0.2617,1.22974,0.363009,-0.001358,0.006989,-0.003038,0.99997,0.230541,1.120364,0.35993,-0.002064,0.00102,0.001238,0.999997,0.265102,0.817383,0.373916,-0.086648,-0.007293,0.0306,-0.995742,0.09879917
8.0,0.1001335,1.0,1.0,1.0,1.0,0.00406055,-0.00036914,-0.00058008,-0.00174023,-0.00091406,-0.00435938,-0.00813867,-0.00573047,0.2617,1.22974,0.363009,-0.001358,0.006989,-0.003038,0.99997,0.230541,1.120364,0.35993,-0.002064,0.00102,0.001238,0.999997,0.265102,0.817383,0.373916,-0.086648,-0.007293,0.0306,-0.995742,0.09879917
9.0,0.106735826,1.0,1.0,1.0,1.0,0.00406055,-0.00036914,-0.00058008,-0.00174023,-0.00091406,-0.00435938,-0.00813867,-0.00573047,0.261697,1.229745,0.363007,-0.00135,0.006996,-0.003027,0.99997,0.230532,1.120359,0.359929,-0.002053,0.001047,0.001258,0.999997,0.265105,0.817385,0.373915,-0.08665,-0.007288,0.030598,-0.995742,0.10576393
