step_id,time,Desired_pressure_segment_1,Desired_pressure_segment_2,Desired_pressure_segment_3,Desired_pressure_segment_4,Measured_pressure_Segment_1_pouch_1,Measured_pressure_Segment_1_pouch_2,Measured_pressure_Segment_1_pouch_3,Measured_pressure_Segment_1_pouch_4,Measured_pressure_Segment_1_pouch_5,Measured_pressure_Segment_2,Measured_pressure_Segment_3,Measured_pressure_Segment_4,Rigid_body_1_x,Rigid_body_1_y,Rigid_body_1_z,Rigid_body_1_qx,Rigid_body_1_qy,Rigid_body_1_qz,Rigid_body_1_qw,Rigid_body_2_x,Rigid_body_2_y,Rigid_body_2_z,Rigid_body_2_qx,Rigid_body_2_qy,Rigid_body_2_qz,Rigid_body_2_qw,Rigid_body_3_x,Rigid_body_3_y,Rigid_body_3_z,Rigid_body_3_qx,Rigid_body_3_qy,Rigid_body_3_qz,Rigid_body_3_qw,mocap_time_rel_s
0.0,0.005074153,3.0,1.0,1.0,1.0,,,,,,,,,0.262717,1.229916,0.362288,-0.000379,0.007168,-0.001803,0.999973,0.231878,1.119413,0.358742,-0.008317,0.001093,-0.002079,0.999963,0.265789,0.811008,0.366128,-0.1131,-0.006572,0.038058,-0.992833,0.001301859
1.0,0.07025359,3.0,1.0,1.0,1.0,,,,,,,,,0.262704,1.229955,0.362279,-0.000413,0.007169,-0.001715,0.999973,0.231882,1.119395,0.358738,-0.008399,0.001107,-0.002155,0.999962,0.265795,0.811011,0.366131,-0.113079,-0.006569,0.038051,-0.992835,0.06463444
2.0,0.07032575,3.0,1.0,1.0,1.0,,,,,,,,,0.262704,1.229955,0.362279,-0.000413,0.007169,-0.001715,0.999973,0.231882,1.119395,0.358738,-0.008399,0.001107,-0.002155,0.999962,0.265795,0.811011,0.366131,-0.113079,-0.006569,0.038051,-0.992835,0.06463444
3.0,0.07055075,3.0,1.0,1.0,1.0,,,,,,,,,0.262704,1.229955,0.362279,-0.000413,0.007169,-0.001715,0.999973,0.231882,1.119395,0.358738,-0.008399,0.001107,-0.002155,0.999962,0.265795,0.811011,0.366131,-0.113079,-0.006569,0.038051,-0.992835,0.06463444
4.0,0.07057251,3.0,1.0,1.0,1.0,,,,,,,,,0.262704,1.229955,0.362279,-0.000413,0.007169,-0.001715,0.999973,0.231882,1.119395,0.358738,-0.008399,0.001107,-0.002155,0.999962,0.265795,0.811011,0.366131,-0.113079,-0.006569,0.038051,-0.992835,0.06463444
5.0,0.070591144,3.0,1.0,1.0,1.0,,,,,,,,,0.262704,1.229955,0.362279,-0.000413,0.007169,-0.001715,0.999973,0.231882,1.119395,0.358738,-0.008399,0.001107,-0.002155,0.999962,0.265795,0.811011,0.366131,-0.113079,-0.006569,0.038051,-0.992835,0.06463444
6.0,0.0706109,3.0,1.0,1.0,1.0,,,,,,,,,0.262704,1.229955,0.362279,-0.000413,0.007169,-0.001715,0.999973,0.231882,1.119395,0.358738,-0.008399,0.001107,-0.002155,0.999962,0.265795,0.811011,0.366131,-0.113079,-0.006569,0.038051,-0.992835,0.06463444
7.0,0.08116566,3.0,1.0,1.0,1.0,-0.00068555,0.00158203,0.00757617,-0.00841992,0.00186328,-0.00274219,-0.00834961,-0.00182812,0.262699,1.229959,0.362283,-0.000433,0.007166,-0.001702,0.999973,0.231909,1.119373,0.358745,-0.00857,0.000962,-0.002253,0.99996,0.265793,0.811013,0.366135,-0.113082,-0.006567,0.038048,-0.992835,0.080639765
8.0,0.09802164,3.0,1.0,1.0,1.0,-0.00068555,0.00158203,0.00757617,-0.00841992,0.00186328,-0.00274219,-0.00834961,-0.00182812,0.262699,1.229959,0.362283,-0.000433,0.007166,-0.001702,0.999973,0.231909,1.119373,0.358745,-0.00857,0.000962,-0.002253,0.99996,0.265793,0.811013,0.366135,-0.113082,-0.006567,0.038048,-0.992835,0.080639765
9.0,0.098054945,3.0,1.0,1.0,1.0,-0.00068555,0.00158203,0.00757617,-0.00841992,0.00186328,-0.00274219,-0.00834961,-0.00182812,0.262699,1.229959,0.362283,-0.000433,0.007166,-0.001702,0.999973,0.231909,1.119373,0.358745,-0.00857,0.000962,-0.002253,0.99996,0.265793,0.811013,0.366135,-0.113082,-0.006567,0.038048,-0.992835,0.080639765
