trial,topology,waveform,preinflation_psi,pmax_psi,nmse,memory_capacity,mean_pouch_sigma_psi,mean_inter_pouch_corr,mean_ccc,theta_std_deg
axial_1-10_parallel,parallel,axial,1,10,0.152508748737412,26.7874414391536,0.0392972695369876,0.930295418271679,0.0526221852889886,2.49016768131726
axial_3-5_parallel,parallel,axial,3,5,0.164432685260273,21.552906094209,0.0606949284337986,0.985281158479607,0.167988466486701,2.15313972140727
circular_3-10_parallel,parallel,circular,3,10,0.110143769552869,14.8229526320681,0.0905269782632138,0.96752652460994,0.217835179998507,1.62700289595719
triangular_3-10_parallel,parallel,triangular,3,10,0.0866187132970293,31.1491973499066,0.0669998974203898,0.972741979072421,0.174494625099331,2.46474796331324
axial_1-5_parallel,parallel,axial,1,5,0.0585105617362727,23.2068721199101,0.0410499948479344,0.937287961225988,0.044556712991032,2.2154427395991
axial_2-10_parallel,parallel,axial,2,10,0.493892720359454,17.4702852950348,0.0448679259233994,0.950139752175058,0.0359767735589002,2.470865994349
axial_2-5_parallel,parallel,axial,2,5,0.773394970571618,9.74645740003848,0.0456159498103948,0.961271365707019,0.0368093437480189,2.11587232418428
axial_3-10_parallel,parallel,axial,3,10,0.312451985366417,22.918733514159,0.0485471911526559,0.975513373170395,0.0967024803773939,2.44427951737613
circular_1-10_parallel,parallel,circular,1,10,0.0443385006736096,28.1703396767226,0.0457338161642343,0.867869015539305,0.0594008685326223,1.97633851779887
circular_1-5_parallel,parallel,circular,1,5,0.143941372857308,22.7095739420591,0.0450729612284375,0.895565326903372,0.038629240309037,1.97864978246785
circular_2-10_parallel,parallel,circular,2,10,0.228536512060066,17.2671051087848,0.0398700995592502,0.940828018311859,0.126779660417174,1.78267523575918
circular_2-5_parallel,parallel,circular,2,5,0.224026456264597,14.7020873568551,0.0375991957626543,0.952076224080143,0.074221352924402,1.75967174376765
circular_3-5_parallel,parallel,circular,3,5,0.152182130943897,26.307265021475,0.0666053902892558,0.982452095474015,0.172929603313996,1.65143422229163
triangular_1-10_parallel,parallel,triangular,1,10,0.0488584031274353,32.7951651248348,0.0547084293865418,0.846101708932336,0.134552347208761,2.94806425334249
triangular_1-5_parallel,parallel,triangular,1,5,0.102567324669674,33.7441689608122,0.0484125447815509,0.877760535815954,0.117657134771703,2.55781074742465
triangular_3-5_parallel,parallel,triangular,3,5,0.11465075645758,26.2261410091201,0.0734425218844311,0.983208717969993,0.194769311782946,2.25142864890192
triangular_2-10_parallel,parallel,triangular,2,10,0.0977325713724785,20.8967699921737,0.0482000534337645,0.949692308546179,0.137063088574146,2.61364957071924
triangular_2-5_parallel,parallel,triangular,2,5,0.154622398493532,22.051067274792,0.0419002799066257,0.787672104579638,0.140261538804018,2.29194538207516
axial_1-10_coupled,coupled,axial,1,10,0.536500522276088,17.5014791105519,0.0249072038572962,0.9849399089181,0.920274580621862,2.43235077935238
axial_1-5_coupled,coupled,axial,1,5,0.888272051318085,9.16350897570849,0.0251368139690182,0.985758638799101,0.954428812247841,2.18470596603648
axial_2-5_coupled,coupled,axial,2,5,1.00933382209256,3.86994330160731,0.0389624938996756,0.992740585706153,0.908441672422234,2.07921875493213
axial_3-5_coupled,coupled,axial,3,5,1.05831658561607,0,0.0440581935119405,0.99508704610296,0.898206896918071,2.11925530765034
circular_1-10_coupled,coupled,circular,1,10,0.719778353225787,5.79035277786062,0.0251083638694284,0.985592926111757,0.944570173110649,1.99883585813502
circular_3-10_coupled,coupled,circular,3,10,0.983465932782361,0.482394345281112,0.0514624752080987,0.994646184393076,0.892637142908235,1.56081206758446
circular_3-5_coupled,coupled,circular,3,5,1.02079428128313,0.611109921411159,0.0570246821806842,0.996150531253815,0.701695549366421,1.55625880778417
triangular_3-10_coupled,coupled,triangular,3,10,0.798798713115359,0.756270857091548,0.0660844816184396,0.995043507396723,0.872936713043626,2.21745767404444
triangular_3-5_coupled,coupled,triangular,3,5,0.731512832319766,0.829408391841881,0.0597049876397706,0.997224096131174,0.923855614498255,2.06472187164216
axial_2-10_coupled,coupled,axial,2,10,0.88584041950157,8.20262330610557,0.0327889737449472,0.99037549361973,0.900314675649457,2.38949540580237
axial_3-10_coupled,coupled,axial,3,10,1.07690548577602,4.0449950384973,0.0387975219867083,0.993500065991705,0.864654875469554,2.39231567454845
circular_1-5_coupled,coupled,circular,1,5,0.344785526456663,11.7157563931299,0.0249172158884614,0.984640646520543,0.914404796215594,1.92108691519175
circular_2-10_coupled,coupled,circular,2,10,1.06168244763779,1.61537695155873,0.0429566581627353,0.99332763870382,0.93268688196482,1.68400974972117
circular_2-5_coupled,coupled,circular,2,5,0.929125570132902,0.978159081973854,0.0453247830496031,0.994453253001834,0.949788587294444,1.61663447218112
triangular_1-10_coupled,coupled,triangular,1,10,0.583760114505066,7.19834917189765,0.0368948095104045,0.987807094942403,0.837752256307929,2.85594629798127
triangular_1-5_coupled,coupled,triangular,1,5,0.343267949249443,12.1125768142299,0.0341260497809178,0.985555125311482,0.916377351097995,2.4329399609585
triangular_2-10_coupled,coupled,triangular,2,10,0.733239832123859,2.66765089887852,0.0523909611184134,0.996354992197015,0.953684561606334,2.50792348181511
triangular_2-5_coupled,coupled,triangular,2,5,0.798862396200983,1.17328201095748,0.0531428857744458,0.995734069855951,0.953221837326612,2.14222908583685
