time,pd_4,pd_7,pd_8,pd_3,pm_4_1,pm_4_2,pm_4_3,pm_4_4,pm_7_1,pm_7_2,pm_7_3,pm_7_4,pm_8_1,pm_8_2,pm_8_3,pm_8_4,pm_3_1,pm_3_2,pm_3_3,pm_3_4,mocap1_x,mocap1_y,mocap1_z,mocap1_qx,mocap1_qy,mocap1_qz,mocap1_qw,mocap2_x,mocap2_y,mocap2_z,mocap2_qx,mocap2_qy,mocap2_qz,mocap2_qw,mocap3_x,mocap3_y,mocap3_z,mocap3_qx,mocap3_qy,mocap3_qz,mocap3_qw
0.001873,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.012252,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496637,1.229640,0.352371,-0.000344,0.000640,-0.000013,1.000000,0.554821,1.127908,0.262984,0.000294,0.002233,0.000575,0.999997,0.602436,0.817118,0.261845,-0.109224,-0.003143,0.033648,0.993443
0.022454,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496637,1.229640,0.352371,-0.000344,0.000640,-0.000013,1.000000,0.554821,1.127908,0.262984,0.000294,0.002233,0.000575,0.999997,0.602436,0.817118,0.261845,-0.109224,-0.003143,0.033648,0.993443
0.032740,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496639,1.229640,0.352374,-0.000335,0.000638,-0.000010,1.000000,0.554818,1.127908,0.262981,0.000302,0.002191,0.000593,0.999997,0.602431,0.817115,0.261856,-0.109233,-0.003164,0.033631,0.993442
0.043013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496639,1.229640,0.352374,-0.000335,0.000638,-0.000010,1.000000,0.554818,1.127908,0.262981,0.000302,0.002191,0.000593,0.999997,0.602431,0.817115,0.261856,-0.109233,-0.003164,0.033631,0.993442
0.053300,0.000,0.000,0.000,0.000,0.242,0.235,0.241,0.235,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496634,1.229637,0.352372,-0.000342,0.000640,-0.000010,1.000000,0.554824,1.127910,0.262987,0.000294,0.002220,0.000575,0.999997,0.602451,0.817110,0.261846,-0.109201,-0.003123,0.033642,0.993445
0.063513,0.000,0.000,0.000,0.000,0.242,0.235,0.241,0.235,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496634,1.229637,0.352372,-0.000342,0.000640,-0.000010,1.000000,0.554824,1.127910,0.262987,0.000294,0.002220,0.000575,0.999997,0.602451,0.817110,0.261846,-0.109201,-0.003123,0.033642,0.993445
0.073702,0.000,0.000,0.000,0.000,0.242,0.235,0.241,0.235,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496632,1.229640,0.352379,-0.000337,0.000630,-0.000011,1.000000,0.554818,1.127907,0.262981,0.000316,0.002194,0.000573,0.999997,0.602432,0.817119,0.261845,-0.109231,-0.003144,0.033640,0.993442
0.083959,0.000,0.000,0.000,0.000,0.242,0.235,0.241,0.235,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496635,1.229640,0.352374,-0.000337,0.000641,-0.000005,1.000000,0.554819,1.127907,0.262980,0.000326,0.002221,0.000601,0.999997,0.602456,0.817108,0.261847,-0.109201,-0.003119,0.033654,0.993445
0.094204,0.000,0.000,0.000,0.000,0.242,0.235,0.241,0.235,0.245,0.795,0.061,0.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496639,1.229638,0.352370,-0.000347,0.000642,-0.000013,1.000000,0.554815,1.127907,0.262983,0.000311,0.002223,0.000604,0.999997,0.602431,0.817117,0.261845,-0.109234,-0.003144,0.033646,0.993441
0.104370,0.000,0.000,0.000,0.000,0.242,0.235,0.241,0.235,0.245,0.795,0.061,0.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496639,1.229638,0.352370,-0.000347,0.000642,-0.000013,1.000000,0.554815,1.127907,0.262983,0.000311,0.002223,0.000604,0.999997,0.602431,0.817117,0.261845,-0.109234,-0.003144,0.033646,0.993441
0.114613,0.000,0.000,0.000,0.000,0.242,0.235,0.241,0.235,0.245,0.795,0.061,0.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496636,1.229644,0.352376,-0.000335,0.000631,-0.000003,1.000000,0.554824,1.127911,0.262982,0.000300,0.002185,0.000572,0.999997,0.602434,0.817119,0.261846,-0.109226,-0.003145,0.033649,0.993442
0.124818,0.000,0.000,0.000,0.000,0.242,0.235,0.241,0.235,0.245,0.795,0.061,0.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496636,1.229644,0.352376,-0.000335,0.000631,-0.000003,1.000000,0.554824,1.127911,0.262982,0.000300,0.002185,0.000572,0.999997,0.602434,0.817119,0.261846,-0.109226,-0.003145,0.033649,0.993442
0.134998,0.000,0.000,0.000,0.000,0.242,0.235,0.241,0.235,0.245,0.795,0.061,0.142,0.123,0.112,0.078,-0.037,0.000,0.000,0.000,0.000,0.496636,1.229644,0.352376,-0.000335,0.000631,-0.000003,1.000000,0.554824,1.127911,0.262982,0.000300,0.002185,0.000572,0.999997,0.602434,0.817119,0.261846,-0.109226,-0.003145,0.033649,0.993442
0.145219,0.000,0.000,0.000,0.000,0.242,0.235,0.241,0.235,0.245,0.795,0.061,0.142,0.123,0.112,0.078,-0.037,0.000,0.000,0.000,0.000,0.496640,1.229645,0.352371,-0.000339,0.000645,-0.000010,1.000000,0.554820,1.127908,0.262981,0.000328,0.002213,0.000604,0.999997,0.602439,0.817122,0.261842,-0.109221,-0.003145,0.033638,0.993443
0.155361,0.000,0.000,0.000,0.000,0.242,0.235,0.241,0.235,0.245,0.795,0.061,0.142,0.123,0.112,0.078,-0.037,0.000,0.000,0.000,0.000,0.496636,1.229644,0.352378,-0.000327,0.000628,-0.000004,1.000000,0.554830,1.127909,0.262984,0.000301,0.002188,0.000566,0.999997,0.602435,0.817120,0.261845,-0.109225,-0.003143,0.033647,0.993442
0.165571,0.000,0.000,0.000,0.000,0.242,0.235,0.241,0.235,0.245,0.795,0.061,0.142,0.123,0.112,0.078,-0.037,0.000,0.000,0.000,0.000,0.496636,1.229644,0.352378,-0.000327,0.000628,-0.000004,1.000000,0.554830,1.127909,0.262984,0.000301,0.002188,0.000566,0.999997,0.602435,0.817120,0.261845,-0.109225,-0.003143,0.033647,0.993442
