time,pd_4,pd_7,pd_8,pm_4_1,pm_4_2,pm_4_3,pm_4_4,pm_7_1,pm_7_2,pm_7_3,pm_7_4,pm_8_1,pm_8_2,pm_8_3,pm_8_4,mocap1_x,mocap1_y,mocap1_z,mocap1_qx,mocap1_qy,mocap1_qz,mocap1_qw,mocap2_x,mocap2_y,mocap2_z,mocap2_qx,mocap2_qy,mocap2_qz,mocap2_qw,mocap3_x,mocap3_y,mocap3_z,mocap3_qx,mocap3_qy,mocap3_qz,mocap3_qw
0.001384,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.011749,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.022002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.495881,1.229766,0.352243,-0.000385,0.000933,0.000693,0.999999,0.555073,1.128012,0.262486,-0.841083,-0.006531,0.540866,-0.001109,0.600100,0.803170,0.261482,-0.103750,-0.002717,0.021261,0.994372
0.032315,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.495881,1.229767,0.352247,-0.000389,0.000932,0.000697,0.999999,0.555081,1.128012,0.262487,-0.841097,-0.006475,0.540845,-0.001118,0.600101,0.803183,0.261495,-0.103812,-0.002713,0.021292,0.994365
0.042557,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.495881,1.229767,0.352247,-0.000389,0.000932,0.000697,0.999999,0.555081,1.128012,0.262487,-0.841097,-0.006475,0.540845,-0.001118,0.600101,0.803183,0.261495,-0.103812,-0.002713,0.021292,0.994365
0.052746,0.000,0.000,0.000,0.784,0.781,0.767,0.779,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.495882,1.229765,0.352242,-0.000381,0.000928,0.000700,0.999999,0.555081,1.128016,0.262491,-0.841076,-0.006466,0.540877,-0.001103,0.600107,0.803195,0.261508,-0.103840,-0.002708,0.021312,0.994362
0.062919,0.000,0.000,0.000,0.784,0.781,0.767,0.779,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.495882,1.229765,0.352242,-0.000381,0.000928,0.000700,0.999999,0.555081,1.128016,0.262491,-0.841076,-0.006466,0.540877,-0.001103,0.600107,0.803195,0.261508,-0.103840,-0.002708,0.021312,0.994362
0.073093,0.000,0.000,0.000,0.784,0.781,0.767,0.779,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.495873,1.229763,0.352249,-0.000392,0.000926,0.000701,0.999999,0.555081,1.128013,0.262485,-0.841096,-0.006493,0.540846,-0.001120,0.600120,0.803206,0.261515,-0.103895,-0.002718,0.021346,0.994355
0.083272,0.000,0.000,0.000,0.784,0.781,0.767,0.779,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.495873,1.229763,0.352249,-0.000392,0.000926,0.000701,0.999999,0.555081,1.128013,0.262485,-0.841096,-0.006493,0.540846,-0.001120,0.600120,0.803206,0.261515,-0.103895,-0.002718,0.021346,0.994355
0.093512,0.000,0.000,0.000,0.784,0.781,0.767,0.779,0.777,0.809,0.719,0.799,0.000,0.000,0.000,0.000,0.495875,1.229762,0.352247,-0.000387,0.000933,0.000697,0.999999,0.555076,1.128013,0.262482,-0.841080,-0.006498,0.540871,-0.001098,0.600127,0.803219,0.261526,-0.103918,-0.002716,0.021379,0.994352
0.103747,0.000,0.000,0.000,0.784,0.781,0.767,0.779,0.777,0.809,0.719,0.799,0.000,0.000,0.000,0.000,0.495880,1.229764,0.352246,-0.000382,0.000932,0.000696,0.999999,0.555080,1.128017,0.262490,-0.841080,-0.006442,0.540871,-0.001106,0.600137,0.803226,0.261540,-0.103952,-0.002733,0.021439,0.994348
0.114020,0.000,0.000,0.000,0.784,0.781,0.767,0.779,0.777,0.809,0.719,0.799,0.000,0.000,0.000,0.000,0.495880,1.229764,0.352246,-0.000382,0.000932,0.000696,0.999999,0.555080,1.128017,0.262490,-0.841080,-0.006442,0.540871,-0.001106,0.600137,0.803226,0.261540,-0.103952,-0.002733,0.021439,0.994348
0.124240,0.000,0.000,0.000,0.784,0.781,0.767,0.779,0.777,0.809,0.719,0.799,0.000,0.000,0.000,0.000,0.495880,1.229764,0.352246,-0.000382,0.000932,0.000696,0.999999,0.555080,1.128017,0.262490,-0.841080,-0.006442,0.540871,-0.001106,0.600137,0.803226,0.261540,-0.103952,-0.002733,0.021439,0.994348
0.134509,0.000,0.000,0.000,0.784,0.781,0.767,0.779,0.777,0.809,0.719,0.799,0.782,0.784,0.052,0.015,0.495880,1.229762,0.352245,-0.000381,0.000933,0.000699,0.999999,0.555081,1.128013,0.262484,-0.841094,-0.006477,0.540850,-0.001114,0.600172,0.803253,0.261553,-0.103998,-0.002736,0.021524,0.994341
0.144775,0.666,0.000,0.000,0.784,0.781,0.767,0.779,0.777,0.809,0.719,0.799,0.782,0.784,0.052,0.015,0.495880,1.229762,0.352245,-0.000381,0.000933,0.000699,0.999999,0.555081,1.128013,0.262484,-0.841094,-0.006477,0.540850,-0.001114,0.600172,0.803253,0.261553,-0.103998,-0.002736,0.021524,0.994341
0.155010,0.666,0.000,0.000,0.784,0.781,0.767,0.779,0.777,0.809,0.719,0.799,0.782,0.784,0.052,0.015,0.495883,1.229761,0.352243,-0.000384,0.000938,0.000701,0.999999,0.555077,1.128015,0.262482,-0.841111,-0.006501,0.540823,-0.001110,0.600182,0.803257,0.261552,-0.104002,-0.002727,0.021542,0.994340
0.165201,0.666,0.000,0.000,0.784,0.781,0.767,0.779,0.777,0.809,0.719,0.799,0.782,0.784,0.052,0.015,0.495883,1.229761,0.352243,-0.000384,0.000938,0.000701,0.999999,0.555077,1.128015,0.262482,-0.841111,-0.006501,0.540823,-0.001110,0.600182,0.803257,0.261552,-0.104002,-0.002727,0.021542,0.994340
0.175354,0.666,0.000,0.000,0.784,0.781,0.767,0.779,0.777,0.809,0.719,0.799,0.782,0.784,0.052,0.015,0.495879,1.229760,0.352245,-0.000383,0.000934,0.000701,0.999999,0.555082,1.128016,0.262483,-0.841080,-0.006432,0.540872,-0.001110,0.600180,0.803268,0.261556,-0.104023,-0.002745,0.021552,0.994337
0.185505,0.666,0.000,0.000,0.784,0.781,0.770,0.779,0.777,0.809,0.719,0.799,0.782,0.784,0.052,0.015,0.495879,1.229764,0.352244,-0.000379,0.000928,0.000704,0.999999,0.555077,1.128011,0.262486,-0.841086,-0.006479,0.540861,-0.001101,0.600178,0.803267,0.261574,-0.104055,-0.002743,0.021607,0.994333
0.195655,0.666,0.000,0.000,0.784,0.781,0.770,0.779,0.777,0.809,0.719,0.799,0.782,0.784,0.052,0.015,0.495879,1.229764,0.352244,-0.000379,0.000928,0.000704,0.999999,0.555077,1.128011,0.262486,-0.841086,-0.006479,0.540861,-0.001101,0.600178,0.803267,0.261574,-0.104055,-0.002743,0.021607,0.994333
0.205780,0.666,0.000,0.000,0.784,0.781,0.770,0.779,0.777,0.809,0.719,0.799,0.782,0.784,0.052,0.015,0.495881,1.229762,0.352241,-0.000373,0.000928,0.000708,0.999999,0.555070,1.128018,0.262485,-0.841083,-0.006420,0.540868,-0.001105,0.600181,0.803277,0.261578,-0.104076,-0.002745,0.021602,0.994331
0.215963,0.666,0.000,0.000,0.784,0.781,0.770,0.779,0.777,0.809,0.719,0.799,0.782,0.784,0.052,0.015,0.495875,1.229767,0.352245,-0.000371,0.000924,0.000711,0.999999,0.555079,1.128010,0.262482,-0.841082,-0.006525,0.540867,-0.001085,0.600188,0.803291,0.261579,-0.104109,-0.002748,0.021626,0.994327
0.226113,0.666,0.000,0.000,0.784,0.781,0.770,0.779,0.777,0.809,0.726,0.799,0.782,0.784,0.052,0.015,0.495875,1.229767,0.352245,-0.000371,0.000924,0.000711,0.999999,0.555079,1.128010,0.262482,-0.841082,-0.006525,0.540867,-0.001085,0.600188,0.803291,0.261579,-0.104109,-0.002748,0.021626,0.994327
0.236275,0.666,0.000,0.000,0.784,0.781,0.770,0.779,0.777,0.809,0.726,0.799,0.782,0.784,0.052,0.015,0.495881,1.229765,0.352240,-0.000373,0.000925,0.000702,0.999999,0.555073,1.128015,0.262481,-0.841079,-0.006473,0.540872,-0.001094,0.600191,0.803292,0.261581,-0.104097,-0.002748,0.021656,0.994328
0.246436,0.666,0.000,0.000,0.784,0.781,0.770,0.779,0.777,0.809,0.726,0.799,0.782,0.784,0.052,0.015,0.495879,1.229764,0.352240,-0.000372,0.000928,0.000704,0.999999,0.555084,1.128010,0.262481,-0.841086,-0.006468,0.540862,-0.001097,0.600201,0.803299,0.261581,-0.104112,-0.002751,0.021686,0.994325
0.256622,0.666,0.000,0.000,0.784,0.781,0.770,0.779,0.777,0.809,0.726,0.799,0.782,0.784,0.052,0.015,0.495879,1.229764,0.352240,-0.000372,0.000928,0.000704,0.999999,0.555084,1.128010,0.262481,-0.841086,-0.006468,0.540862,-0.001097,0.600201,0.803299,0.261581,-0.104112,-0.002751,0.021686,0.994325
0.266786,0.666,0.000,0.000,0.784,0.781,0.770,0.779,0.777,0.809,0.726,0.799,0.774,0.782,0.051,0.013,0.495876,1.229764,0.352239,-0.000378,0.000929,0.000697,0.999999,0.555077,1.128011,0.262480,-0.841103,-0.006482,0.540836,-0.001119,0.600206,0.803301,0.261583,-0.104135,-0.002758,0.021689,0.994323
0.276995,1.332,0.000,0.000,0.784,0.781,0.770,0.779,0.777,0.809,0.726,0.799,0.774,0.782,0.051,0.013,0.495876,1.229764,0.352239,-0.000378,0.000929,0.000697,0.999999,0.555077,1.128011,0.262480,-0.841103,-0.006482,0.540836,-0.001119,0.600206,0.803301,0.261583,-0.104135,-0.002758,0.021689,0.994323
0.287153,1.332,0.000,0.000,0.784,0.781,0.770,0.779,0.777,0.809,0.726,0.799,0.774,0.782,0.051,0.013,0.495881,1.229763,0.352238,-0.000378,0.000931,0.000702,0.999999,0.555073,1.128012,0.262481,-0.841085,-0.006532,0.540863,-0.001077,0.600215,0.803315,0.261586,-0.104154,-0.002767,0.021737,0.994320
0.297292,1.332,0.000,0.000,0.784,0.781,0.770,0.779,0.777,0.809,0.726,0.799,0.774,0.782,0.051,0.013,0.495881,1.229766,0.352238,-0.000372,0.000936,0.000700,0.999999,0.555075,1.128010,0.262481,-0.841111,-0.006549,0.540822,-0.001115,0.600223,0.803319,0.261588,-0.104170,-0.002763,0.021758,0.994318
0.307437,1.332,0.000,0.000,0.784,0.781,0.770,0.779,0.777,0.809,0.726,0.799,0.774,0.782,0.051,0.013,0.495881,1.229768,0.352234,-0.000374,0.000932,0.000695,0.999999,0.555067,1.128012,0.262479,-0.841086,-0.006517,0.540861,-0.001091,0.600225,0.803339,0.261604,-0.104181,-0.002774,0.021793,0.994316
0.317586,1.332,0.000,0.000,0.784,0.779,0.767,0.772,0.777,0.809,0.726,0.799,0.774,0.782,0.051,0.013,0.495881,1.229768,0.352234,-0.000374,0.000932,0.000695,0.999999,0.555067,1.128012,0.262479,-0.841086,-0.006517,0.540861,-0.001091,0.600225,0.803339,0.261604,-0.104181,-0.002774,0.021793,0.994316
0.327747,1.332,0.000,0.000,0.784,0.779,0.767,0.772,0.777,0.809,0.726,0.799,0.774,0.782,0.051,0.013,0.495884,1.229764,0.352240,-0.000370,0.000934,0.000702,0.999999,0.555070,1.128015,0.262481,-0.841092,-0.006487,0.540852,-0.001087,0.600207,0.803293,0.261572,-0.104210,-0.002701,0.021653,0.994316
0.337909,1.332,0.000,0.000,0.784,0.779,0.767,0.772,0.777,0.809,0.726,0.799,0.774,0.782,0.051,0.013,0.495884,1.229764,0.352240,-0.000370,0.000934,0.000702,0.999999,0.555070,1.128015,0.262481,-0.841092,-0.006487,0.540852,-0.001087,0.600207,0.803293,0.261572,-0.104210,-0.002701,0.021653,0.994316
0.348042,1.332,0.000,0.000,0.784,0.779,0.767,0.772,0.777,0.809,0.726,0.799,0.774,0.782,0.051,0.013,0.495882,1.229764,0.352242,-0.000379,0.000927,0.000704,0.999999,0.555078,1.128010,0.262479,-0.841102,-0.006551,0.540836,-0.001110,0.600225,0.803341,0.261607,-0.104228,-0.002762,0.021801,0.994311
0.358186,1.332,0.000,0.000,0.784,0.779,0.767,0.772,0.768,0.805,0.728,0.801,0.774,0.782,0.051,0.013,0.495882,1.229764,0.352242,-0.000379,0.000927,0.000704,0.999999,0.555078,1.128010,0.262479,-0.841102,-0.006551,0.540836,-0.001110,0.600225,0.803341,0.261607,-0.104228,-0.002762,0.021801,0.994311
0.368407,1.332,0.000,0.000,0.784,0.779,0.767,0.772,0.768,0.805,0.728,0.801,0.774,0.782,0.051,0.013,0.495883,1.229766,0.352238,-0.000368,0.000924,0.000704,0.999999,0.555075,1.128011,0.262481,-0.841097,-0.006495,0.540844,-0.001111,0.600233,0.803344,0.261614,-0.104239,-0.002772,0.021826,0.994309
0.378584,1.332,0.000,0.000,0.784,0.779,0.767,0.772,0.768,0.805,0.728,0.801,0.774,0.782,0.051,0.013,0.495884,1.229767,0.352238,-0.000377,0.000931,0.000698,0.999999,0.555064,1.128012,0.262481,-0.841077,-0.006516,0.540875,-0.001076,0.600237,0.803357,0.261623,-0.104270,-0.002779,0.021859,0.994305
0.388749,1.332,0.000,0.000,0.784,0.779,0.767,0.772,0.768,0.805,0.728,0.801,0.774,0.782,0.051,0.013,0.495885,1.229767,0.352241,-0.000375,0.000929,0.000698,0.999999,0.555065,1.128013,0.262481,-0.841081,-0.006508,0.540869,-0.001098,0.600244,0.803370,0.261630,-0.104278,-0.002784,0.021903,0.994303
0.398891,1.332,0.000,0.000,0.784,0.779,0.767,0.772,0.768,0.805,0.728,0.801,0.774,0.778,0.054,0.016,0.495885,1.229767,0.352241,-0.000375,0.000929,0.000698,0.999999,0.555065,1.128013,0.262481,-0.841081,-0.006508,0.540869,-0.001098,0.600244,0.803370,0.261630,-0.104278,-0.002784,0.021903,0.994303
0.409038,1.998,0.000,0.000,0.784,0.779,0.767,0.772,0.768,0.805,0.728,0.801,0.774,0.778,0.054,0.016,0.495888,1.229767,0.352240,-0.000372,0.000924,0.000700,0.999999,0.555068,1.128012,0.262486,-0.841080,-0.006537,0.540870,-0.001117,0.600255,0.803369,0.261633,-0.104295,-0.002776,0.021916,0.994301
0.419190,1.998,0.000,0.000,0.784,0.779,0.767,0.772,0.768,0.805,0.728,0.801,0.774,0.778,0.054,0.016,0.495888,1.229767,0.352240,-0.000372,0.000924,0.000700,0.999999,0.555068,1.128012,0.262486,-0.841080,-0.006537,0.540870,-0.001117,0.600255,0.803369,0.261633,-0.104295,-0.002776,0.021916,0.994301
0.429346,1.998,0.000,0.000,0.784,0.779,0.767,0.772,0.768,0.805,0.728,0.801,0.774,0.778,0.054,0.016,0.495885,1.229766,0.352240,-0.000372,0.000923,0.000705,0.999999,0.555067,1.128020,0.262482,-0.841075,-0.006539,0.540878,-0.001105,0.600269,0.803384,0.261642,-0.104330,-0.002787,0.021977,0.994296
0.439473,1.998,0.000,0.000,0.784,0.779,0.767,0.772,0.768,0.805,0.728,0.801,0.774,0.778,0.054,0.016,0.495881,1.229767,0.352241,-0.000379,0.000931,0.000699,0.999999,0.555067,1.128017,0.262482,-0.841100,-0.006525,0.540839,-0.001109,0.600271,0.803393,0.261643,-0.104344,-0.002787,0.021988,0.994294
0.449623,1.998,0.000,0.000,0.782,0.775,0.770,0.772,0.768,0.805,0.728,0.801,0.774,0.778,0.054,0.016,0.495881,1.229767,0.352241,-0.000379,0.000931,0.000699,0.999999,0.555067,1.128017,0.262482,-0.841100,-0.006525,0.540839,-0.001109,0.600271,0.803393,0.261643,-0.104344,-0.002787,0.021988,0.994294
