time,pd_4,pd_7,pd_8,pm_1,pm_2,pm_3,pm_4,pm_5,pm_6,pm_7,pm_8,pm_9,pm_10,pm_11,pm_12,pm_13,pm_14,pm_15,pm_16,mocap_1,mocap_2,mocap_3,mocap_4,mocap_5,mocap_6,mocap_7,mocap_8,mocap_9,mocap_10,mocap_11,mocap_12,mocap_13,mocap_14,mocap_15,mocap_16,mocap_17,mocap_18,mocap_19,mocap_20,mocap_21
0.002215,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.012903,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496441,1.229566,0.351964,-0.000831,0.001115,0.000356,0.999999,0.554597,1.127778,0.262534,-0.841419,-0.015224,0.540168,-0.000359,0.603120,0.810104,0.263554,-0.114295,-0.003411,0.034278,0.992849
0.023227,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496441,1.229566,0.351964,-0.000831,0.001115,0.000356,0.999999,0.554597,1.127778,0.262534,-0.841419,-0.015224,0.540168,-0.000359,0.603120,0.810104,0.263554,-0.114295,-0.003411,0.034278,0.992849
0.033547,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496443,1.229567,0.351961,-0.000824,0.001114,0.000362,0.999999,0.554584,1.127778,0.262533,-0.841414,-0.015206,0.540177,-0.000355,0.603122,0.810106,0.263554,-0.114283,-0.003417,0.034277,0.992851
0.043874,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496443,1.229567,0.351961,-0.000824,0.001114,0.000362,0.999999,0.554584,1.127778,0.262533,-0.841414,-0.015206,0.540177,-0.000355,0.603122,0.810106,0.263554,-0.114283,-0.003417,0.034277,0.992851
0.054202,0.000,0.000,0.000,0.452,0.456,0.442,0.442,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496443,1.229567,0.351961,-0.000824,0.001114,0.000362,0.999999,0.554584,1.127778,0.262533,-0.841414,-0.015206,0.540177,-0.000355,0.603122,0.810106,0.263554,-0.114283,-0.003417,0.034277,0.992851
0.064530,0.000,0.000,0.000,0.452,0.456,0.442,0.442,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496444,1.229565,0.351964,-0.000824,0.001115,0.000363,0.999999,0.554585,1.127779,0.262532,-0.841402,-0.015222,0.540195,-0.000360,0.603142,0.810109,0.263563,-0.114299,-0.003404,0.034292,0.992849
0.074877,0.000,0.000,0.000,0.452,0.456,0.442,0.442,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496444,1.229565,0.351964,-0.000824,0.001115,0.000363,0.999999,0.554585,1.127779,0.262532,-0.841402,-0.015222,0.540195,-0.000360,0.603142,0.810109,0.263563,-0.114299,-0.003404,0.034292,0.992849
0.085194,0.000,0.000,0.000,0.452,0.456,0.442,0.442,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496444,1.229565,0.351964,-0.000824,0.001115,0.000363,0.999999,0.554585,1.127779,0.262532,-0.841402,-0.015222,0.540195,-0.000360,0.603142,0.810109,0.263563,-0.114299,-0.003404,0.034292,0.992849
0.095526,0.000,0.000,0.000,0.452,0.456,0.442,0.442,0.453,0.484,0.398,0.476,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496444,1.229565,0.351964,-0.000824,0.001115,0.000363,0.999999,0.554585,1.127779,0.262532,-0.841402,-0.015222,0.540195,-0.000360,0.603142,0.810109,0.263563,-0.114299,-0.003404,0.034292,0.992849
0.105865,0.000,0.000,0.000,0.452,0.456,0.442,0.442,0.453,0.484,0.398,0.476,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496448,1.229564,0.351963,-0.000827,0.001111,0.000363,0.999999,0.554586,1.127781,0.262532,-0.841412,-0.015222,0.540180,-0.000369,0.603121,0.810114,0.263556,-0.114296,-0.003412,0.034277,0.992849
