time,pd_4,pd_7,pd_8,pm_1,pm_2,pm_3,pm_4,pm_5,pm_6,pm_7,pm_8,pm_9,pm_10,pm_11,pm_12,mocap_1,mocap_2,mocap_3,mocap_4,mocap_5,mocap_6,mocap_7,mocap_8,mocap_9,mocap_10,mocap_11,mocap_12,mocap_13,mocap_14,mocap_15,mocap_16,mocap_17,mocap_18,mocap_19,mocap_20,mocap_21
0.000706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.010963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.496681,1.229645,0.352569,-0.000394,0.000616,-0.000051,1,0.554843,1.127675,0.262997,0.000174,0.00148,0.000741,0.999999,0.598999,0.820203,0.249259,-0.057558,-0.001183,0.015729,0.998218
0.021115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.496685,1.229646,0.352569,-0.000391,0.000614,-0.000045,1,0.554844,1.127674,0.262994,0.000151,0.001477,0.000754,0.999999,0.599029,0.820191,0.24921,-0.057563,-0.001266,0.015775,0.998216
0.03125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.496685,1.229646,0.352569,-0.000391,0.000614,-0.000045,1,0.554844,1.127674,0.262994,0.000151,0.001477,0.000754,0.999999,0.599029,0.820191,0.24921,-0.057563,-0.001266,0.015775,0.998216
0.041382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.496685,1.229647,0.352572,-0.00039,0.000613,-0.000047,1,0.554843,1.127676,0.262994,0.000176,0.001486,0.000749,0.999999,0.599,0.820207,0.249264,-0.057586,-0.001195,0.015724,0.998216
0.051566,0,0,0,-0.012,0.068,-0.022,-0.014,0,0,0,0,0,0,0,0,0.496685,1.229647,0.352572,-0.00039,0.000613,-0.000047,1,0.554843,1.127676,0.262994,0.000176,0.001486,0.000749,0.999999,0.599,0.820207,0.249264,-0.057586,-0.001195,0.015724,0.998216
0.061719,0,0,0,-0.012,0.068,-0.022,-0.014,0,0,0,0,0,0,0,0,0.496685,1.229647,0.352572,-0.00039,0.000613,-0.000047,1,0.554843,1.127676,0.262994,0.000176,0.001486,0.000749,0.999999,0.599,0.820207,0.249264,-0.057586,-0.001195,0.015724,0.998216
0.071879,0,0,0,-0.012,0.068,-0.022,-0.014,0,0,0,0,0,0,0,0,0.496688,1.229648,0.352568,-0.000401,0.000617,-0.000049,1,0.55485,1.127679,0.262994,0.000151,0.001457,0.000744,0.999999,0.599,0.820211,0.249271,-0.057607,-0.001186,0.015732,0.998215
0.082043,0,0,0,-0.012,0.068,-0.022,-0.014,0,0,0,0,0,0,0,0,0.49669,1.229647,0.352569,-0.000385,0.000617,-0.000041,1,0.554851,1.127682,0.262997,0.000128,0.001473,0.000692,0.999999,0.599058,0.820207,0.249265,-0.057605,-0.001174,0.015782,0.998214
0.092163,0,0,0,-0.012,0.068,-0.022,-0.014,-0.005,0.023,-0.061,0.027,0,0,0,0,0.49669,1.229647,0.352569,-0.000385,0.000617,-0.000041,1,0.554851,1.127682,0.262997,0.000128,0.001473,0.000692,0.999999,0.599058,0.820207,0.249265,-0.057605,-0.001174,0.015782,0.998214
0.102307,0,0,0,-0.012,0.068,-0.022,-0.014,-0.005,0.023,-0.061,0.027,0,0,0,0,0.496683,1.229648,0.352572,-0.000391,0.000614,-0.000049,1,0.554844,1.127677,0.262995,0.000157,0.001438,0.000733,0.999999,0.599026,0.82021,0.249237,-0.057621,-0.001255,0.015777,0.998213
