time,pd_4,pd_7,pd_8,pm_4_1,pm_4_2,pm_4_3,pm_4_4,pm_7_1,pm_7_2,pm_7_3,pm_7_4,pm_8_1,pm_8_2,pm_8_3,pm_8_4,mocap_1_x,mocap_1_y,mocap_1_z,mocap_1_qx,mocap_1_qy,mocap_1_qz,mocap_1_qw,mocap_2_x,mocap_2_y,mocap_2_z,mocap_2_qx,mocap_2_qy,mocap_2_qz,mocap_2_qw,mocap_3_x,mocap_3_y,mocap_3_z,mocap_3_qx,mocap_3_qy,mocap_3_qz,mocap_3_qw
0.002044,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.012579,6.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.022824,6.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496635,1.230014,0.353255,-0.000359,-0.001171,-0.000519,0.999999,0.555242,1.128161,0.263886,0.842754,0.013946,-0.538117,0.001155,0.597792,0.816507,0.258660,-0.089965,-0.002938,0.013207,0.995853
0.033062,6.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496638,1.230017,0.353259,-0.000351,-0.001176,-0.000522,0.999999,0.555253,1.128161,0.263886,0.842757,0.013939,-0.538113,0.001145,0.597793,0.816510,0.258662,-0.089966,-0.002937,0.013212,0.995853
0.043367,6.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496638,1.230017,0.353259,-0.000351,-0.001176,-0.000522,0.999999,0.555253,1.128161,0.263886,0.842757,0.013939,-0.538113,0.001145,0.597793,0.816510,0.258662,-0.089966,-0.002937,0.013212,0.995853
0.053651,6.000,8.598,0.000,0.103,0.106,0.103,0.104,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496638,1.230011,0.353256,-0.000369,-0.001180,-0.000526,0.999999,0.555258,1.128156,0.263887,0.842770,0.013923,-0.538092,0.001137,0.597789,0.816512,0.258664,-0.089959,-0.002932,0.013211,0.995854
0.063929,6.000,8.598,0.000,0.103,0.106,0.103,0.104,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496638,1.230011,0.353256,-0.000369,-0.001180,-0.000526,0.999999,0.555258,1.128156,0.263887,0.842770,0.013923,-0.538092,0.001137,0.597789,0.816512,0.258664,-0.089959,-0.002932,0.013211,0.995854
0.074206,6.000,8.598,0.000,0.103,0.106,0.103,0.104,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496636,1.230014,0.353254,-0.000365,-0.001173,-0.000522,0.999999,0.555244,1.128157,0.263886,0.842768,0.013957,-0.538096,0.001148,0.597793,0.816512,0.258659,-0.089963,-0.002937,0.013212,0.995853
0.084464,6.000,8.598,0.000,0.103,0.106,0.103,0.104,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496635,1.230013,0.353259,-0.000362,-0.001178,-0.000526,0.999999,0.555250,1.128159,0.263883,0.842754,0.013934,-0.538117,0.001131,0.597796,0.816508,0.258658,-0.089966,-0.002942,0.013206,0.995853
0.094808,6.000,8.598,3.402,0.103,0.106,0.103,0.104,0.110,0.133,0.058,0.136,0.000,0.000,0.000,0.000,0.496635,1.230013,0.353259,-0.000362,-0.001178,-0.000526,0.999999,0.555250,1.128159,0.263883,0.842754,0.013934,-0.538117,0.001131,0.597796,0.816508,0.258658,-0.089966,-0.002942,0.013206,0.995853
0.105193,6.000,8.598,3.402,0.103,0.106,0.103,0.104,0.110,0.133,0.058,0.136,0.000,0.000,0.000,0.000,0.496630,1.230015,0.353263,-0.000354,-0.001184,-0.000523,0.999999,0.555250,1.128158,0.263887,0.842759,0.013953,-0.538109,0.001150,0.597792,0.816513,0.258660,-0.089961,-0.002937,0.013201,0.995854
0.115591,6.000,8.598,3.402,0.103,0.106,0.103,0.104,0.110,0.133,0.058,0.136,0.000,0.000,0.000,0.000,0.496638,1.230019,0.353257,-0.000360,-0.001184,-0.000527,0.999999,0.555242,1.128153,0.263879,0.842760,0.013944,-0.538107,0.001140,0.597790,0.816511,0.258662,-0.089972,-0.002941,0.013205,0.995852
0.125824,6.000,8.598,3.402,0.103,0.106,0.103,0.104,0.110,0.133,0.058,0.136,0.000,0.000,0.000,0.000,0.496638,1.230019,0.353257,-0.000360,-0.001184,-0.000527,0.999999,0.555242,1.128153,0.263879,0.842760,0.013944,-0.538107,0.001140,0.597790,0.816511,0.258662,-0.089972,-0.002941,0.013205,0.995852
0.136069,6.000,8.598,3.402,0.103,0.106,0.103,0.104,0.110,0.133,0.058,0.136,0.106,0.102,0.023,-0.028,0.496643,1.230013,0.353253,-0.000370,-0.001163,-0.000529,0.999999,0.555255,1.128156,0.263882,0.842744,0.013933,-0.538134,0.001115,0.597802,0.816515,0.258657,-0.089961,-0.002938,0.013209,0.995853
0.146464,6.251,8.598,3.402,0.103,0.106,0.103,0.104,0.110,0.133,0.058,0.136,0.106,0.102,0.023,-0.028,0.496638,1.230019,0.353255,-0.000353,-0.001169,-0.000521,0.999999,0.555259,1.128154,0.263883,0.842774,0.013931,-0.538086,0.001130,0.597802,0.816513,0.258649,-0.089971,-0.002927,0.013208,0.995853
0.156952,6.251,8.598,3.402,0.103,0.106,0.103,0.104,0.110,0.133,0.058,0.136,0.106,0.102,0.023,-0.028,0.496638,1.230019,0.353255,-0.000353,-0.001169,-0.000521,0.999999,0.555259,1.128154,0.263883,0.842774,0.013931,-0.538086,0.001130,0.597802,0.816513,0.258649,-0.089971,-0.002927,0.013208,0.995853
0.167420,6.251,8.598,3.402,0.103,0.106,0.103,0.104,0.110,0.133,0.058,0.136,0.106,0.102,0.023,-0.028,0.496632,1.230014,0.353260,-0.000365,-0.001176,-0.000518,0.999999,0.555251,1.128159,0.263885,0.842764,0.013949,-0.538101,0.001157,0.597806,0.816516,0.258647,-0.089970,-0.002929,0.013205,0.995853
