time,pd_4,pd_3,pd_7,pd_8,pm_4_1,pm_4_2,pm_4_3,pm_4_4,pm_3_1,pm_3_2,pm_3_3,pm_3_4,pm_7_1,pm_7_2,pm_7_3,pm_7_4,pm_8_1,pm_8_2,pm_8_3,pm_8_4,mocap_1_x,mocap_1_y,mocap_1_z,mocap_1_qx,mocap_1_qy,mocap_1_qz,mocap_1_qw,mocap_2_x,mocap_2_y,mocap_2_z,mocap_2_qx,mocap_2_qy,mocap_2_qz,mocap_2_qw,mocap_3_x,mocap_3_y,mocap_3_z,mocap_3_qx,mocap_3_qy,mocap_3_qz,mocap_3_qw
0.002022,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.013026,6.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.023287,6.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496749,1.229816,0.352980,-0.000325,-0.000958,-0.000439,0.999999,0.555375,1.128448,0.263910,0.842461,0.015047,-0.538547,0.000000,0.598852,0.815926,0.260648,-0.100314,-0.003275,0.017872,0.994790
0.033561,6.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496749,1.229816,0.352980,-0.000325,-0.000958,-0.000439,0.999999,0.555375,1.128448,0.263910,0.842461,0.015047,-0.538547,0.000000,0.598852,0.815926,0.260648,-0.100314,-0.003275,0.017872,0.994790
0.043835,6.000,8.000,0.000,0.000,0.149,0.149,0.151,0.148,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496749,1.229816,0.352980,-0.000325,-0.000958,-0.000439,0.999999,0.555375,1.128448,0.263910,0.842461,0.015047,-0.538547,0.000000,0.598852,0.815926,0.260648,-0.100314,-0.003275,0.017872,0.994790
0.054106,6.000,8.000,0.000,0.000,0.149,0.149,0.151,0.148,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496758,1.229821,0.352973,-0.000334,-0.000964,-0.000447,0.999999,0.555374,1.128447,0.263910,0.842464,0.015049,-0.538542,-0.000005,0.598846,0.815928,0.260649,-0.100304,-0.003268,0.017869,0.994791
0.064358,6.000,8.000,0.000,0.000,0.149,0.149,0.151,0.148,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496758,1.229821,0.352973,-0.000334,-0.000964,-0.000447,0.999999,0.555374,1.128447,0.263910,0.842464,0.015049,-0.538542,-0.000005,0.598846,0.815928,0.260649,-0.100304,-0.003268,0.017869,0.994791
0.074590,6.000,8.000,0.000,0.000,0.149,0.149,0.151,0.148,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496758,1.229821,0.352973,-0.000334,-0.000964,-0.000447,0.999999,0.555374,1.128447,0.263910,0.842464,0.015049,-0.538542,-0.000005,0.598846,0.815928,0.260649,-0.100304,-0.003268,0.017869,0.994791
0.085001,6.000,8.000,6.000,0.000,0.149,0.149,0.151,0.148,0.320,0.345,0.346,0.363,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496761,1.229826,0.352971,-0.000316,-0.000969,-0.000444,0.999999,0.555372,1.128443,0.263909,0.842470,0.015059,-0.538533,0.000021,0.598848,0.815930,0.260649,-0.100313,-0.003272,0.017873,0.994790
0.095420,6.000,8.000,6.000,0.000,0.149,0.149,0.151,0.148,0.320,0.345,0.346,0.363,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496761,1.229826,0.352971,-0.000316,-0.000969,-0.000444,0.999999,0.555372,1.128443,0.263909,0.842470,0.015059,-0.538533,0.000021,0.598848,0.815930,0.260649,-0.100313,-0.003272,0.017873,0.994790
