time,Desired_pressure_segment_1,Desired_pressure_segment_2,Desired_pressure_segment_3,Desired_pressure_segment_4,Measured_pressure_Segment_1_pouch_1,Measured_pressure_Segment_1_pouch_2,Measured_pressure_Segment_1_pouch_3,Measured_pressure_Segment_1_pouch_4,Measured_pressure_Segment_1_pouch_5,Measured_pressure_Segment_2_pouch_1,Measured_pressure_Segment_2_pouch_2,Measured_pressure_Segment_2_pouch_3,Measured_pressure_Segment_2_pouch_4,Measured_pressure_Segment_2_pouch_5,Measured_pressure_Segment_4,Measured_pressure_Segment_3,mocap_rigid_body_x,mocap_rigid_body_y,mocap_rigid_body_z,mocap_rigid_body_qx,mocap_rigid_body_qy,mocap_rigid_body_qz,mocap_rigid_body_qw
0.001230,0.000,0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.011728,2.000,2.000,0.000,2.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.021877,2.000,2.000,0.000,2.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.032156,2.000,2.000,0.000,2.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.433240,0.828711,0.250658,-0.056381,-0.002824,0.026409,0.998056
0.042306,2.000,2.000,0.000,2.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.433240,0.828711,0.250658,-0.056381,-0.002824,0.026409,0.998056
0.052654,2.000,2.000,0.000,2.000,0.031400,0.221200,0.018800,0.023000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.433242,0.828711,0.250662,-0.056388,-0.002822,0.026406,0.998056
0.063053,2.000,2.000,0.000,2.000,0.031400,0.221200,0.018800,0.023000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.433242,0.828711,0.250662,-0.056388,-0.002822,0.026406,0.998056
0.073319,2.000,2.000,0.000,2.000,0.031400,0.221200,0.018800,0.023000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.433241,0.828719,0.250659,-0.056379,-0.002829,0.026424,0.998056
0.083605,2.000,2.000,0.000,2.000,0.031400,0.221200,0.018800,0.023000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.433241,0.828719,0.250659,-0.056379,-0.002829,0.026424,0.998056
0.093908,2.000,2.000,0.000,2.000,0.031400,0.221200,0.018800,0.023000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.433242,0.828712,0.250659,-0.056381,-0.002823,0.026404,0.998056
