time,pd_4,pd_7,pd_8,pm_1,pm_2,pm_3,pm_4,pm_5,pm_6,pm_7,pm_8,pm_9,pm_10,pm_11,pm_12,mocap_1,mocap_2,mocap_3,mocap_4,mocap_5,mocap_6,mocap_7,mocap_8,mocap_9,mocap_10,mocap_11,mocap_12,mocap_13,mocap_14,mocap_15,mocap_16,mocap_17,mocap_18,mocap_19,mocap_20,mocap_21
0.001903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.012466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.022796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.033052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.04325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.053482,0,0,0,0.287,0.317,0.33,0.335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.063705,0,0,0,0.287,0.317,0.33,0.335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.073972,0,0,0,0.287,0.317,0.33,0.335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.084287,0,0,0,0.287,0.317,0.33,0.335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.094516,0,0,0,0.287,0.317,0.33,0.335,0.282,0.294,0.218,0.304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.104685,0,0,0,0.287,0.317,0.33,0.335,0.282,0.294,0.218,0.304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.114831,0,0,0,0.287,0.317,0.33,0.335,0.282,0.294,0.218,0.304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.125028,0,0,0,0.287,0.317,0.33,0.335,0.282,0.294,0.218,0.304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.135307,0,0,0,0.287,0.317,0.33,0.335,0.282,0.294,0.218,0.304,0.272,0.275,-0.015,-0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.145701,0,0,0,0.287,0.317,0.33,0.335,0.282,0.294,0.218,0.304,0.272,0.275,-0.015,-0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.155936,0,0,0,0.287,0.317,0.33,0.335,0.282,0.294,0.218,0.304,0.272,0.275,-0.015,-0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.166077,0,0,0,0.287,0.317,0.33,0.335,0.282,0.294,0.218,0.304,0.272,0.275,-0.015,-0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.176231,0,0,0,0.287,0.317,0.33,0.335,0.282,0.294,0.218,0.304,0.272,0.275,-0.015,-0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.186438,0,0,0,0.323,0.334,0.337,0.328,0.282,0.294,0.218,0.304,0.272,0.275,-0.015,-0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.196606,0,0,0,0.323,0.334,0.337,0.328,0.282,0.294,0.218,0.304,0.272,0.275,-0.015,-0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.20682,0,0,0,0.323,0.334,0.337,0.328,0.282,0.294,0.218,0.304,0.272,0.275,-0.015,-0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.216994,0,0,0,0.323,0.334,0.337,0.328,0.282,0.294,0.218,0.304,0.272,0.275,-0.015,-0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
