time,pd_4,pd_7,pd_8,pm_1,pm_2,pm_3,pm_4,pm_5,pm_6,pm_7,pm_8,pm_9,pm_10,pm_11,pm_12,pm_13,pm_14,pm_15,pm_16,mocap_1,mocap_2,mocap_3,mocap_4,mocap_5,mocap_6,mocap_7,mocap_8,mocap_9,mocap_10,mocap_11,mocap_12,mocap_13,mocap_14,mocap_15,mocap_16,mocap_17,mocap_18,mocap_19,mocap_20,mocap_21,
0.001658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.012249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.022615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.033069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.496627,1.229648,0.352379,-0.00036,0.000638,0.000006,1,0.554827,1.127911,0.263005,-0.841655,-0.01504,0.539805,-0.000039,0.596053,0.826739,0.254515,-0.075754,-0.000982,0.00911,0.997084
0.043483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.496632,1.229656,0.352381,-0.000344,0.000632,0.000014,1,0.55484,1.127911,0.263006,-0.841653,-0.015026,0.53981,-0.000034,0.596057,0.826743,0.254509,-0.075743,-0.000983,0.009114,0.997085
0.053915,0,0,0,0,-0.04,-0.043,-0.06,-0.059,0,0,0,0,0,0,0,0,0,0,0,0,0.496633,1.229656,0.352379,-0.000347,0.000639,0.000009,1,0.554834,1.127914,0.263005,-0.841641,-0.015034,0.539827,-0.000042,0.596059,0.82674,0.254511,-0.075746,-0.000987,0.009116,0.997085
0.064252,0,0,0,0,-0.04,-0.043,-0.06,-0.059,0,0,0,0,0,0,0,0,0,0,0,0,0.496634,1.229655,0.352379,-0.000349,0.000637,0.000007,1,0.554838,1.127914,0.263008,-0.841608,-0.015072,0.539879,-0.000046,0.59606,0.82674,0.254512,-0.075753,-0.00098,0.009117,0.997084
0.074681,0,0,0,0,-0.04,-0.043,-0.06,-0.059,0,0,0,0,0,0,0,0,0,0,0,0,0.49663,1.229654,0.352386,-0.000347,0.000635,0.000008,1,0.554837,1.127913,0.263004,-0.841635,-0.015056,0.539836,-0.000051,0.596061,0.82674,0.254513,-0.075751,-0.000984,0.009119,0.997085
0.085013,0,0,0,0,-0.04,-0.043,-0.06,-0.059,0,0,0,0,0,0,0,0,0,0,0,0,0.49663,1.229654,0.352386,-0.000347,0.000635,0.000008,1,0.554837,1.127913,0.263004,-0.841635,-0.015056,0.539836,-0.000051,0.596061,0.82674,0.254513,-0.075751,-0.000984,0.009119,0.997085
0.095246,0,0,0,0,-0.04,-0.043,-0.06,-0.059,-0.033,30.806,-0.08,-0.004,0,0,0,0,0,0,0,0,0.496628,1.229658,0.352382,-0.000339,0.00064,0.000011,1,0.554833,1.127914,0.263002,-0.841633,-0.01504,0.53984,-0.000035,0.596089,0.826749,0.254528,-0.075757,-0.000956,0.009119,0.997084
0.105438,0,0,0,0,-0.04,-0.043,-0.06,-0.059,-0.033,30.806,-0.08,-0.004,0,0,0,0,0,0,0,0,0.496628,1.229653,0.352382,-0.000344,0.000634,0.000008,1,0.554835,1.127908,0.263004,-0.84163,-0.015033,0.539845,-0.000042,0.596051,0.826742,0.254513,-0.075746,-0.00098,0.009118,0.997085
0.115675,0,0,0,0,-0.04,-0.043,-0.06,-0.059,-0.033,30.806,-0.08,-0.004,0,0,0,0,0,0,0,0,0.496628,1.229653,0.352382,-0.000344,0.000634,0.000008,1,0.554835,1.127908,0.263004,-0.84163,-0.015033,0.539845,-0.000042,0.596051,0.826742,0.254513,-0.075746,-0.00098,0.009118,0.997085
0.125924,0,0,0,0,-0.04,-0.043,-0.06,-0.059,-0.033,30.806,-0.08,-0.004,0,0,0,0,0,0,0,0,0.496625,1.229654,0.352387,-0.000351,0.000629,0.000008,1,0.55483,1.127906,0.263002,-0.84164,-0.015064,0.539829,-0.000034,0.596082,0.826745,0.254532,-0.075767,-0.00095,0.009123,0.997083
0.136154,0,0,0,0,-0.04,-0.043,-0.06,-0.059,-0.033,30.806,-0.08,-0.004,-0.023,-0.036,0.048,-0.035,0,0,0,0,0.496625,1.229654,0.352387,-0.000351,0.000629,0.000008,1,0.55483,1.127906,0.263002,-0.84164,-0.015064,0.539829,-0.000034,0.596082,0.826745,0.254532,-0.075767,-0.00095,0.009123,0.997083
