time,pd_4,pd_7,pd_8,pd_3,pm_4_1,pm_4_2,pm_4_3,pm_4_4,pm_7_1,pm_7_2,pm_7_3,pm_7_4,pm_8_1,pm_8_2,pm_8_3,pm_8_4,pm_3_1,pm_3_2,pm_3_3,pm_3_4,mocap_1,mocap_2,mocap_3,mocap_4,mocap_5,mocap_6,mocap_7,mocap_8,mocap_9,mocap_10,mocap_11,mocap_12,mocap_13,mocap_14,mocap_15,mocap_16,mocap_17,mocap_18,mocap_19,mocap_20,mocap_21
0.002226,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.012448,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496620,1.229649,0.352375,-0.000329,0.000635,-0.000008,1.000000,0.554818,1.127917,0.262990,0.000278,0.002142,0.000659,0.999997,0.605969,0.817566,0.260248,-0.102912,-0.003530,0.049208,0.993466
0.022670,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496625,1.229649,0.352372,-0.000330,0.000644,-0.000008,1.000000,0.554821,1.127912,0.262992,0.000276,0.002153,0.000641,0.999997,0.605967,0.817569,0.260246,-0.102904,-0.003535,0.049209,0.993467
0.032854,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496625,1.229649,0.352372,-0.000330,0.000644,-0.000008,1.000000,0.554821,1.127912,0.262992,0.000276,0.002153,0.000641,0.999997,0.605967,0.817569,0.260246,-0.102904,-0.003535,0.049209,0.993467
0.043172,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496606,1.229642,0.352375,-0.000314,0.000636,0.000007,1.000000,0.554825,1.127915,0.262992,0.000272,0.002156,0.000614,0.999997,0.606053,0.817417,0.260187,-0.102959,-0.003410,0.048716,0.993486
0.053561,0.000,0.000,0.000,0.000,0.218,0.217,0.213,0.216,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496617,1.229650,0.352378,-0.000330,0.000640,-0.000005,1.000000,0.554817,1.127915,0.262989,0.000279,0.002142,0.000631,0.999997,0.606055,0.817415,0.260186,-0.102959,-0.003412,0.048713,0.993486
0.063921,0.000,0.000,0.000,0.000,0.218,0.217,0.213,0.216,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496617,1.229650,0.352378,-0.000330,0.000640,-0.000005,1.000000,0.554817,1.127915,0.262989,0.000279,0.002142,0.000631,0.999997,0.606055,0.817415,0.260186,-0.102959,-0.003412,0.048713,0.993486
0.074336,0.000,0.000,0.000,0.000,0.218,0.217,0.213,0.216,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496621,1.229648,0.352371,-0.000341,0.000646,-0.000003,1.000000,0.554829,1.127913,0.262989,0.000300,0.002139,0.000645,0.999997,0.605967,0.817566,0.260248,-0.102910,-0.003534,0.049205,0.993467
0.084597,0.000,0.000,0.000,0.000,0.218,0.217,0.213,0.216,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496618,1.229650,0.352373,-0.000322,0.000641,-0.000007,1.000000,0.554825,1.127918,0.262994,0.000258,0.002164,0.000634,0.999997,0.605977,0.817546,0.260240,-0.102924,-0.003519,0.049141,0.993468
0.094844,0.000,0.000,0.000,0.000,0.218,0.217,0.213,0.216,0.227,0.509,0.155,0.233,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496618,1.229650,0.352373,-0.000322,0.000641,-0.000007,1.000000,0.554825,1.127918,0.262994,0.000258,0.002164,0.000634,0.999997,0.605977,0.817546,0.260240,-0.102924,-0.003519,0.049141,0.993468
