time,pd_4,pd_7,pd_8,pm_4_1,pm_4_2,pm_4_3,pm_4_4,pm_7_1,pm_7_2,pm_7_3,pm_7_4,pm_8_1,pm_8_2,pm_8_3,pm_8_4,mocap1_x,mocap1_y,mocap1_z,mocap1_qx,mocap1_qy,mocap1_qz,mocap1_qw,mocap2_x,mocap2_y,mocap2_z,mocap2_qx,mocap2_qy,mocap2_qz,mocap2_qw,mocap3_x,mocap3_y,mocap3_z,mocap3_qx,mocap3_qy,mocap3_qz,mocap3_qw
0.000557,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.010860,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.021041,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496145,1.229601,0.352285,-0.000567,0.001019,0.000446,0.999999,0.554483,1.127617,0.262611,-0.001058,0.001830,-0.000222,0.999998,0.595698,0.825396,0.253634,-0.076300,-0.000702,0.008536,0.997048
0.031217,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496145,1.229601,0.352285,-0.000567,0.001019,0.000446,0.999999,0.554483,1.127617,0.262611,-0.001058,0.001830,-0.000222,0.999998,0.595698,0.825396,0.253634,-0.076300,-0.000702,0.008536,0.997048
0.041429,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496147,1.229600,0.352283,-0.000561,0.001019,0.000444,0.999999,0.554479,1.127614,0.262611,-0.001029,0.001843,-0.000202,0.999998,0.595718,0.825405,0.253626,-0.076290,-0.000685,0.008544,0.997049
0.051679,0.000,0.000,0.000,-0.049,-0.030,-0.057,-0.059,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496147,1.229600,0.352283,-0.000561,0.001019,0.000444,0.999999,0.554479,1.127614,0.262611,-0.001029,0.001843,-0.000202,0.999998,0.595718,0.825405,0.253626,-0.076290,-0.000685,0.008544,0.997049
0.061808,0.000,0.000,0.000,-0.049,-0.030,-0.057,-0.059,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496144,1.229602,0.352282,-0.000554,0.001015,0.000443,0.999999,0.554485,1.127612,0.262613,-0.001055,0.001834,-0.000227,0.999998,0.595703,0.825392,0.253634,-0.076306,-0.000698,0.008536,0.997048
0.071963,0.000,0.000,0.000,-0.049,-0.030,-0.057,-0.059,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496150,1.229603,0.352282,-0.000557,0.001017,0.000446,0.999999,0.554487,1.127614,0.262611,-0.001042,0.001845,-0.000213,0.999998,0.595702,0.825398,0.253638,-0.076304,-0.000694,0.008529,0.997048
0.082096,0.000,0.000,0.000,-0.049,-0.030,-0.057,-0.059,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496150,1.229603,0.352282,-0.000557,0.001017,0.000446,0.999999,0.554487,1.127614,0.262611,-0.001042,0.001845,-0.000213,0.999998,0.595702,0.825398,0.253638,-0.076304,-0.000694,0.008529,0.997048
0.092234,0.000,0.000,0.000,-0.049,-0.030,-0.057,-0.059,-0.040,30.796,-0.099,-0.018,0.000,0.000,0.000,0.000,0.496149,1.229601,0.352285,-0.000556,0.001012,0.000445,0.999999,0.554493,1.127610,0.262615,-0.001051,0.001812,-0.000213,0.999998,0.595706,0.825397,0.253631,-0.076287,-0.000702,0.008527,0.997049
