time,pd_4,pd_7,pd_8,pm_4_1,pm_4_2,pm_4_3,pm_4_4,pm_7_1,pm_7_2,pm_7_3,pm_7_4,pm_8_1,pm_8_2,pm_8_3,pm_8_4,mocap_1_x,mocap_1_y,mocap_1_z,mocap_1_qx,mocap_1_qy,mocap_1_qz,mocap_1_qw,mocap_2_x,mocap_2_y,mocap_2_z,mocap_2_qx,mocap_2_qy,mocap_2_qz,mocap_2_qw,mocap_3_x,mocap_3_y,mocap_3_z,mocap_3_qx,mocap_3_qy,mocap_3_qz,mocap_3_qw
0.002117,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.012315,6.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.022515,6.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.032719,6.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496771,1.230026,0.353277,-0.000183,-0.000851,-0.000610,1.000000,0.555068,1.128213,0.263900,0.842886,0.014848,-0.537887,0.000313,0.597446,0.810822,0.259004,-0.091669,-0.003060,0.012673,0.995704
0.042914,6.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496771,1.230026,0.353277,-0.000183,-0.000851,-0.000610,1.000000,0.555068,1.128213,0.263900,0.842886,0.014848,-0.537887,0.000313,0.597446,0.810822,0.259004,-0.091669,-0.003060,0.012673,0.995704
0.053122,6.000,8.598,0.000,0.166,0.206,0.157,0.158,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496773,1.230028,0.353275,-0.000165,-0.000853,-0.000605,1.000000,0.555061,1.128206,0.263892,0.842864,0.014875,-0.537920,0.000275,0.597455,0.810825,0.259002,-0.091667,-0.003056,0.012674,0.995704
0.063362,6.000,8.598,0.000,0.166,0.206,0.157,0.158,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496764,1.230022,0.353279,-0.000186,-0.000844,-0.000614,1.000000,0.555062,1.128211,0.263895,0.842869,0.014877,-0.537914,0.000286,0.597457,0.810827,0.259000,-0.091678,-0.003055,0.012670,0.995703
0.073693,6.000,8.598,0.000,0.166,0.206,0.157,0.158,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496778,1.230025,0.353277,-0.000188,-0.000842,-0.000621,1.000000,0.555061,1.128211,0.263896,0.842870,0.014873,-0.537911,0.000296,0.597450,0.810830,0.259002,-0.091677,-0.003052,0.012679,0.995703
0.083940,6.000,8.598,0.000,0.166,0.206,0.157,0.158,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496778,1.230025,0.353277,-0.000188,-0.000842,-0.000621,1.000000,0.555061,1.128211,0.263896,0.842870,0.014873,-0.537911,0.000296,0.597450,0.810830,0.259002,-0.091677,-0.003052,0.012679,0.995703
0.094233,6.000,8.598,3.402,0.166,0.206,0.157,0.158,0.165,0.352,0.120,0.197,0.000,0.000,0.000,0.000,0.496774,1.230029,0.353276,-0.000185,-0.000846,-0.000615,1.000000,0.555071,1.128206,0.263899,0.842875,0.014793,-0.537905,0.000317,0.597454,0.810833,0.259007,-0.091683,-0.003053,0.012677,0.995703
0.104481,6.000,8.598,3.402,0.166,0.206,0.157,0.158,0.165,0.352,0.120,0.197,0.000,0.000,0.000,0.000,0.496764,1.230020,0.353285,-0.000161,-0.000851,-0.000600,1.000000,0.555061,1.128212,0.263900,0.842864,0.014867,-0.537920,0.000292,0.597450,0.810835,0.259005,-0.091694,-0.003050,0.012671,0.995702
0.114737,6.000,8.598,3.402,0.166,0.206,0.157,0.158,0.165,0.352,0.120,0.197,0.000,0.000,0.000,0.000,0.496764,1.230020,0.353285,-0.000161,-0.000851,-0.000600,1.000000,0.555061,1.128212,0.263900,0.842864,0.014867,-0.537920,0.000292,0.597450,0.810835,0.259005,-0.091694,-0.003050,0.012671,0.995702
0.125046,6.000,8.598,3.402,0.166,0.206,0.157,0.158,0.165,0.352,0.120,0.197,0.000,0.000,0.000,0.000,0.496774,1.230030,0.353273,-0.000173,-0.000848,-0.000617,1.000000,0.555068,1.128213,0.263898,0.842865,0.014866,-0.537920,0.000309,0.597455,0.810840,0.259004,-0.091684,-0.003056,0.012674,0.995703
0.135399,6.000,8.598,3.402,0.166,0.206,0.157,0.158,0.165,0.352,0.120,0.197,0.171,0.168,0.019,-0.028,0.496774,1.230030,0.353273,-0.000173,-0.000848,-0.000617,1.000000,0.555068,1.128213,0.263898,0.842865,0.014866,-0.537920,0.000309,0.597455,0.810840,0.259004,-0.091684,-0.003056,0.012674,0.995703
0.145729,6.251,8.598,3.402,0.166,0.206,0.157,0.158,0.165,0.352,0.120,0.197,0.171,0.168,0.019,-0.028,0.496768,1.230024,0.353279,-0.000180,-0.000855,-0.000605,1.000000,0.555065,1.128211,0.263895,0.842860,0.014852,-0.537929,0.000285,0.597457,0.810842,0.259003,-0.091690,-0.003051,0.012669,0.995702
0.155998,6.251,8.598,3.402,0.166,0.206,0.157,0.158,0.165,0.352,0.120,0.197,0.171,0.168,0.019,-0.028,0.496781,1.230030,0.353277,-0.000171,-0.000851,-0.000618,0.999999,0.555065,1.128210,0.263898,0.842866,0.014870,-0.537918,0.000288,0.597455,0.810845,0.259003,-0.091695,-0.003055,0.012678,0.995702
0.166299,6.251,8.598,3.402,0.166,0.206,0.157,0.158,0.165,0.352,0.120,0.197,0.171,0.168,0.019,-0.028,0.496780,1.230031,0.353280,-0.000171,-0.000853,-0.000610,1.000000,0.555059,1.128207,0.263892,0.842871,0.014883,-0.537910,0.000276,0.597457,0.810844,0.259002,-0.091698,-0.003053,0.012668,0.995702
0.176615,6.251,8.598,3.402,0.166,0.206,0.157,0.158,0.165,0.352,0.120,0.197,0.171,0.168,0.019,-0.028,0.496780,1.230031,0.353280,-0.000171,-0.000853,-0.000610,1.000000,0.555059,1.128207,0.263892,0.842871,0.014883,-0.537910,0.000276,0.597457,0.810844,0.259002,-0.091698,-0.003053,0.012668,0.995702
0.186950,6.251,8.463,3.402,0.169,0.210,0.158,0.159,0.165,0.352,0.120,0.197,0.171,0.168,0.019,-0.028,0.496763,1.230019,0.353280,-0.000160,-0.000852,-0.000600,1.000000,0.555064,1.128208,0.263895,0.842861,0.014872,-0.537926,0.000276,0.597453,0.810849,0.259003,-0.091687,-0.003045,0.012661,0.995703
0.197351,6.251,8.463,3.402,0.169,0.210,0.158,0.159,0.165,0.352,0.120,0.197,0.171,0.168,0.019,-0.028,0.496763,1.230019,0.353280,-0.000160,-0.000852,-0.000600,1.000000,0.555064,1.128208,0.263895,0.842861,0.014872,-0.537926,0.000276,0.597453,0.810849,0.259003,-0.091687,-0.003045,0.012661,0.995703
0.207776,6.251,8.463,3.402,0.169,0.210,0.158,0.159,0.165,0.352,0.120,0.197,0.171,0.168,0.019,-0.028,0.496777,1.230022,0.353276,-0.000186,-0.000849,-0.000617,0.999999,0.555059,1.128209,0.263891,0.842874,0.014855,-0.537906,0.000285,0.597454,0.810851,0.259006,-0.091699,-0.003043,0.012667,0.995702
0.218215,6.251,8.463,3.402,0.169,0.210,0.158,0.159,0.165,0.352,0.120,0.197,0.171,0.168,0.019,-0.028,0.496774,1.230020,0.353276,-0.000178,-0.000851,-0.000611,1.000000,0.555067,1.128208,0.263899,0.842872,0.014866,-0.537909,0.000303,0.597453,0.810847,0.259007,-0.091698,-0.003042,0.012662,0.995702
0.228589,6.251,8.463,3.285,0.169,0.210,0.158,0.159,0.164,0.344,0.119,0.197,0.171,0.168,0.019,-0.028,0.496774,1.230020,0.353276,-0.000178,-0.000851,-0.000611,1.000000,0.555067,1.128208,0.263899,0.842872,0.014866,-0.537909,0.000303,0.597453,0.810847,0.259007,-0.091698,-0.003042,0.012662,0.995702
0.239014,6.251,8.463,3.285,0.169,0.210,0.158,0.159,0.164,0.344,0.119,0.197,0.171,0.168,0.019,-0.028,0.496775,1.230023,0.353276,-0.000180,-0.000847,-0.000612,1.000000,0.555066,1.128203,0.263897,0.842882,0.014878,-0.537893,0.000295,0.597451,0.810851,0.259004,-0.091694,-0.003044,0.012664,0.995702
