time,pd_4,pd_3,pd_7,pd_8,pm_4_1,pm_4_2,pm_4_3,pm_4_4,pm_3_1,pm_3_2,pm_3_3,pm_3_4,pm_7_1,pm_7_2,pm_7_3,pm_7_4,pm_8_1,pm_8_2,pm_8_3,pm_8_4,mocap_1_x,mocap_1_y,mocap_1_z,mocap_1_qx,mocap_1_qy,mocap_1_qz,mocap_1_qw,mocap_2_x,mocap_2_y,mocap_2_z,mocap_2_qx,mocap_2_qy,mocap_2_qz,mocap_2_qw,mocap_3_x,mocap_3_y,mocap_3_z,mocap_3_qx,mocap_3_qy,mocap_3_qz,mocap_3_qw
0.001618,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.012035,6.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.022227,6.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496686,1.229941,0.353044,-0.000300,-0.000905,-0.000408,1.000000,0.555111,1.128102,0.263600,0.842647,0.014051,-0.538284,0.000392,0.595501,0.822728,0.254217,-0.074241,-0.002324,0.007141,0.997212
0.032503,6.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496686,1.229941,0.353044,-0.000300,-0.000905,-0.000408,1.000000,0.555111,1.128102,0.263600,0.842647,0.014051,-0.538284,0.000392,0.595501,0.822728,0.254217,-0.074241,-0.002324,0.007141,0.997212
0.042783,6.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496686,1.229941,0.353044,-0.000300,-0.000905,-0.000408,1.000000,0.555111,1.128102,0.263600,0.842647,0.014051,-0.538284,0.000392,0.595501,0.822728,0.254217,-0.074241,-0.002324,0.007141,0.997212
0.052997,6.000,9.000,0.000,0.000,-0.042,-0.037,-0.046,-0.056,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496680,1.229943,0.353051,-0.000305,-0.000917,-0.000413,1.000000,0.555118,1.128095,0.263601,0.842666,0.014007,-0.538255,0.000406,0.595508,0.822730,0.254215,-0.074236,-0.002328,0.007126,0.997213
0.063208,6.000,9.000,0.000,0.000,-0.042,-0.037,-0.046,-0.056,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496680,1.229943,0.353051,-0.000305,-0.000917,-0.000413,1.000000,0.555118,1.128095,0.263601,0.842666,0.014007,-0.538255,0.000406,0.595508,0.822730,0.254215,-0.074236,-0.002328,0.007126,0.997213
0.073381,6.000,9.000,0.000,0.000,-0.042,-0.037,-0.046,-0.056,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496680,1.229943,0.353051,-0.000305,-0.000917,-0.000413,1.000000,0.555118,1.128095,0.263601,0.842666,0.014007,-0.538255,0.000406,0.595508,0.822730,0.254215,-0.074236,-0.002328,0.007126,0.997213
0.083616,6.000,9.000,0.000,0.000,-0.042,-0.037,-0.046,-0.056,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496680,1.229943,0.353051,-0.000305,-0.000917,-0.000413,1.000000,0.555118,1.128095,0.263601,0.842666,0.014007,-0.538255,0.000406,0.595508,0.822730,0.254215,-0.074236,-0.002328,0.007126,0.997213
0.093915,6.000,9.000,6.000,0.000,-0.042,-0.037,-0.046,-0.056,0.349,0.365,0.353,0.366,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496685,1.229937,0.353045,-0.000305,-0.000907,-0.000421,1.000000,0.555120,1.128100,0.263601,0.842664,0.014037,-0.538257,0.000397,0.595504,0.822729,0.254218,-0.074241,-0.002331,0.007150,0.997212
