time,pd_3,pd_6,pd_7,pd_8,pm_3_1,pm_3_2,pm_3_3,pm_3_4,pm_6_1,pm_6_2,pm_6_3,pm_6_4,pm_7_1,pm_7_2,pm_7_3,pm_7_4,pm_8_1,pm_8_2,pm_8_3,pm_8_4,mocap_1_x,mocap_1_y,mocap_1_z,mocap_1_qx,mocap_1_qy,mocap_1_qz,mocap_1_qw,mocap_2_x,mocap_2_y,mocap_2_z,mocap_2_qx,mocap_2_qy,mocap_2_qz,mocap_2_qw,mocap_3_x,mocap_3_y,mocap_3_z,mocap_3_qx,mocap_3_qy,mocap_3_qz,mocap_3_qw
0.001959,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.012471,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.406139,1.226767,0.325916,-0.000304,0.008512,-0.000979,0.999963,0.413705,1.125175,0.201928,0.007756,-0.061486,-0.038173,0.997348,0.510186,0.809634,0.259697,0.052006,0.006334,0.006231,-0.998607
0.022707,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.406139,1.226767,0.325916,-0.000304,0.008512,-0.000979,0.999963,0.413705,1.125175,0.201928,0.007756,-0.061486,-0.038173,0.997348,0.510186,0.809634,0.259697,0.052006,0.006334,0.006231,-0.998607
0.032977,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.406143,1.226772,0.325916,-0.000293,0.008517,-0.000974,0.999963,0.413716,1.125178,0.201927,0.007821,-0.061459,-0.038381,0.997341,0.510183,0.809634,0.259689,0.051979,0.006341,0.006227,-0.998609
0.043132,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.406138,1.226771,0.325912,-0.000296,0.008512,-0.000978,0.999963,0.413712,1.125185,0.201931,0.007755,-0.061423,-0.038326,0.997346,0.510188,0.809640,0.259672,0.051954,0.006346,0.006220,-0.998610
0.053344,3.000,5.000,0.000,0.000,0.595,0.593,0.584,0.587,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.406138,1.226771,0.325912,-0.000296,0.008512,-0.000978,0.999963,0.413712,1.125185,0.201931,0.007755,-0.061423,-0.038326,0.997346,0.510188,0.809640,0.259672,0.051954,0.006346,0.006220,-0.998610
0.063565,3.000,5.000,0.000,0.000,0.595,0.593,0.584,0.587,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.406139,1.226768,0.325909,-0.000304,0.008516,-0.000979,0.999963,0.413707,1.125181,0.201933,0.007765,-0.061411,-0.038245,0.997349,0.510193,0.809651,0.259674,0.051953,0.006345,0.006227,-0.998610
0.073779,3.000,5.000,0.000,0.000,0.595,0.593,0.584,0.587,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.406139,1.226768,0.325909,-0.000304,0.008516,-0.000979,0.999963,0.413707,1.125181,0.201933,0.007765,-0.061411,-0.038245,0.997349,0.510193,0.809651,0.259674,0.051953,0.006345,0.006227,-0.998610
0.084043,3.000,5.000,0.000,0.000,0.595,0.593,0.584,0.587,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.406137,1.226770,0.325911,-0.000297,0.008514,-0.000969,0.999963,0.413713,1.125179,0.201934,0.007758,-0.061414,-0.038218,0.997350,0.510191,0.809652,0.259658,0.051914,0.006354,0.006214,-0.998612
0.094281,3.000,5.000,3.000,0.000,0.595,0.593,0.584,0.587,0.223,0.324,0.321,0.338,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.406131,1.226767,0.325913,-0.000296,0.008515,-0.000967,0.999963,0.413706,1.125175,0.201927,0.007789,-0.061454,-0.038305,0.997344,0.510190,0.809656,0.259652,0.051913,0.006353,0.006212,-0.998612
