time,Desired_pressure_segment_1,Desired_pressure_segment_2,Desired_pressure_segment_3,Desired_pressure_segment_4,Measured_pressure_Segment_1_pouch_1,Measured_pressure_Segment_1_pouch_2,Measured_pressure_Segment_1_pouch_3,Measured_pressure_Segment_1_pouch_4,Measured_pressure_Segment_1_pouch_5,Measured_pressure_Segment_2_pouch_1,Measured_pressure_Segment_2_pouch_2,Measured_pressure_Segment_2_pouch_3,Measured_pressure_Segment_2_pouch_4,Measured_pressure_Segment_2_pouch_5,Measured_pressure_Segment_4,Measured_pressure_Segment_3,mocap_rigid_body_x,mocap_rigid_body_y,mocap_rigid_body_z,mocap_rigid_body_qx,mocap_rigid_body_qy,mocap_rigid_body_qz,mocap_rigid_body_qw
0.000983,0.000,0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.011263,2.000,2.000,0.000,2.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.021487,2.000,2.000,0.000,2.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.531689,0.823738,0.219483,-0.051817,-0.037118,0.020622,0.997754
0.031696,2.000,2.000,0.000,2.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.531674,0.823716,0.219474,-0.051768,-0.037139,0.020627,0.997755
0.041899,2.000,2.000,0.000,2.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.531684,0.823735,0.219489,-0.051814,-0.037115,0.020620,0.997754
0.052130,2.000,2.000,0.000,2.000,0.970800,0.966600,0.942700,0.966600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.531690,0.823738,0.219488,-0.051809,-0.037123,0.020621,0.997754
0.062288,2.000,2.000,0.000,2.000,0.970800,0.966600,0.942700,0.966600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.531690,0.823738,0.219488,-0.051809,-0.037123,0.020621,0.997754
0.072413,2.000,2.000,0.000,2.000,0.970800,0.966600,0.942700,0.966600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.531685,0.823738,0.219485,-0.051809,-0.037120,0.020620,0.997754
0.082545,2.000,2.000,0.000,2.000,0.970800,0.966600,0.942700,0.966600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.531685,0.823738,0.219485,-0.051809,-0.037120,0.020620,0.997754
0.092657,2.000,2.000,0.000,2.000,0.970800,0.966600,0.942700,0.966600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.531683,0.823737,0.219484,-0.051815,-0.037125,0.020620,0.997753
0.102843,2.000,2.000,0.000,2.000,0.970800,0.966600,0.942700,0.966600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.531667,0.823719,0.219475,-0.051760,-0.037133,0.020627,0.997756
0.113111,2.000,2.000,0.000,2.000,0.970800,0.966600,0.942700,0.966600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.531667,0.823719,0.219475,-0.051760,-0.037133,0.020627,0.997756
0.123223,2.000,2.000,0.000,2.000,0.970800,0.966600,0.942700,0.966600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.531667,0.823719,0.219475,-0.051760,-0.037133,0.020627,0.997756
0.133429,2.000,2.000,0.000,2.000,0.970800,0.966600,0.942700,0.966600,0.986300,0.046900,0.052500,-0.024800,0.000000,0.000000,0.000000,0.000000,0.531685,0.823738,0.219485,-0.051806,-0.037116,0.020619,0.997754
0.143564,2.000,2.000,0.000,2.000,0.970800,0.966600,0.942700,0.966600,0.986300,0.046900,0.052500,-0.024800,0.000000,0.000000,0.000000,0.000000,0.531685,0.823738,0.219485,-0.051806,-0.037116,0.020619,0.997754
0.153709,2.000,2.000,0.000,2.000,0.970800,0.966600,0.942700,0.966600,0.986300,0.046900,0.052500,-0.024800,0.000000,0.000000,0.000000,0.000000,0.531683,0.823738,0.219489,-0.051800,-0.037110,0.020615,0.997755
0.163875,2.000,2.000,0.000,2.000,0.970800,0.966600,0.942700,0.966600,0.986300,0.046900,0.052500,-0.024800,0.000000,0.000000,0.000000,0.000000,0.531684,0.823736,0.219487,-0.051804,-0.037111,0.020614,0.997755
0.174045,2.000,2.000,0.000,2.000,0.970800,0.966600,0.942700,0.966600,0.986300,0.046900,0.052500,-0.024800,0.025800,0.020200,-0.026300,-0.037500,0.531684,0.823736,0.219487,-0.051804,-0.037111,0.020614,0.997755
0.184189,2.000,2.000,0.000,2.000,0.970800,0.966600,0.942700,0.966600,0.986300,0.046900,0.052500,-0.024800,0.025800,0.020200,-0.026300,-0.037500,0.531673,0.823718,0.219471,-0.051755,-0.037146,0.020632,0.997755
0.194337,2.000,2.000,0.000,2.000,0.970800,0.966600,0.942700,0.966600,0.986300,0.046900,0.052500,-0.024800,0.025800,0.020200,-0.026300,-0.037500,0.531719,0.823748,0.219473,-0.051804,-0.037093,0.020647,0.997755
