time,Desired_pressure_segment_1,Desired_pressure_segment_2,Desired_pressure_segment_3,Desired_pressure_segment_4,Measured_pressure_Segment_1_pouch_1,Measured_pressure_Segment_1_pouch_2,Measured_pressure_Segment_1_pouch_3,Measured_pressure_Segment_1_pouch_4,Measured_pressure_Segment_1_pouch_5,Measured_pressure_Segment_2_pouch_1,Measured_pressure_Segment_2_pouch_2,Measured_pressure_Segment_2_pouch_3,Measured_pressure_Segment_2_pouch_4,Measured_pressure_Segment_2_pouch_5,Measured_pressure_Segment_4,Measured_pressure_Segment_3,mocap_rigid_body_x,mocap_rigid_body_y,mocap_rigid_body_z,mocap_rigid_body_qx,mocap_rigid_body_qy,mocap_rigid_body_qz,mocap_rigid_body_qw
0.001093,0.000,0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.011514,0.000,0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.382591,0.810522,0.233015,-0.984137,-0.106672,0.114861,-0.083083
0.021919,0.000,0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.382591,0.810522,0.233015,-0.984137,-0.106672,0.114861,-0.083083
0.032249,0.000,0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.382591,0.810522,0.233015,-0.984137,-0.106672,0.114861,-0.083083
0.042461,0.000,0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.382591,0.810513,0.233016,-0.984136,-0.106690,0.114863,-0.083062
0.052629,0.000,0.000,0.000,0.000,0.859700,0.962300,0.848400,0.849800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.382591,0.810513,0.233016,-0.984136,-0.106690,0.114863,-0.083062
0.062986,0.000,0.000,0.000,0.000,0.859700,0.962300,0.848400,0.849800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.382599,0.810500,0.233016,-0.984135,-0.106711,0.114863,-0.083052
0.073393,0.000,0.000,0.000,0.000,0.859700,0.962300,0.848400,0.849800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.382599,0.810504,0.233016,-0.984136,-0.106702,0.114865,-0.083052
0.083783,0.000,0.000,0.000,0.000,0.859700,0.962300,0.848400,0.849800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.382599,0.810504,0.233016,-0.984136,-0.106702,0.114865,-0.083052
0.094166,0.000,0.000,0.000,0.000,0.859700,0.962300,0.848400,0.849800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.382597,0.810498,0.233019,-0.984140,-0.106694,0.114864,-0.083018
