time,pd_4,pd_7,pd_8,pm_1,pm_2,pm_3,pm_4,pm_5,pm_6,pm_7,pm_8,pm_9,pm_10,pm_11,pm_12,pm_13,pm_14,pm_15,pm_16,mocap_1,mocap_2,mocap_3,mocap_4,mocap_5,mocap_6,mocap_7,mocap_8,mocap_9,mocap_10,mocap_11,mocap_12,mocap_13,mocap_14,mocap_15,mocap_16,mocap_17,mocap_18,mocap_19,mocap_20,mocap_21
0.001919,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.012420,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.484762,1.229218,0.319667,0.000907,0.005877,0.000986,-0.999982,0.543428,1.127829,0.229234,-0.001195,-0.005819,-0.000576,0.999982,0.577263,0.803672,0.272705,-0.018234,-0.017245,0.015870,0.999559
0.022748,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.484762,1.229218,0.319667,0.000907,0.005877,0.000986,-0.999982,0.543428,1.127829,0.229234,-0.001195,-0.005819,-0.000576,0.999982,0.577263,0.803672,0.272705,-0.018234,-0.017245,0.015870,0.999559
0.033057,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.484766,1.229216,0.319667,0.000907,0.005874,0.000984,-0.999982,0.543440,1.127831,0.229232,-0.001192,-0.005832,-0.000566,0.999982,0.577255,0.803668,0.272702,-0.018236,-0.017242,0.015859,0.999559
0.043302,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.484758,1.229216,0.319668,0.000901,0.005874,0.000980,-0.999982,0.543435,1.127826,0.229232,-0.001173,-0.005802,-0.000574,0.999982,0.577257,0.803671,0.272700,-0.018233,-0.017241,0.015861,0.999559
0.053544,0.000,0.000,0.000,0.293,0.327,0.325,0.348,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.484758,1.229216,0.319668,0.000901,0.005874,0.000980,-0.999982,0.543435,1.127826,0.229232,-0.001173,-0.005802,-0.000574,0.999982,0.577257,0.803671,0.272700,-0.018233,-0.017241,0.015861,0.999559
0.063807,0.000,0.000,0.000,0.293,0.327,0.325,0.348,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.484764,1.229216,0.319669,0.000910,0.005870,0.000984,-0.999982,0.543436,1.127830,0.229229,-0.001202,-0.005783,-0.000553,0.999982,0.577260,0.803672,0.272700,-0.018240,-0.017245,0.015864,0.999559
0.074116,0.000,0.000,0.000,0.293,0.327,0.325,0.348,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.484766,1.229217,0.319669,0.000906,0.005872,0.000983,-0.999982,0.543434,1.127831,0.229233,-0.001176,-0.005802,-0.000552,0.999982,0.577256,0.803673,0.272702,-0.018236,-0.017246,0.015866,0.999559
0.084425,0.000,0.000,0.000,0.293,0.327,0.325,0.348,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.484766,1.229217,0.319669,0.000906,0.005872,0.000983,-0.999982,0.543434,1.127831,0.229233,-0.001176,-0.005802,-0.000552,0.999982,0.577256,0.803673,0.272702,-0.018236,-0.017246,0.015866,0.999559
0.094743,0.000,0.000,0.000,0.293,0.327,0.325,0.348,-0.001,0.020,-0.053,0.023,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.484773,1.229219,0.319672,0.000907,0.005876,0.000985,-0.999982,0.543432,1.127830,0.229232,-0.001168,-0.005808,-0.000517,0.999982,0.577251,0.803673,0.272703,-0.018236,-0.017232,0.015867,0.999559
