step_id,time,pd_3,pd_6,pd_7,pd_8,pm_3_1,pm_3_2,pm_3_3,pm_3_4,pm_6_1,pm_6_2,pm_6_3,pm_6_4,pm_7_1,pm_7_2,pm_7_3,pm_7_4,pm_8_1,pm_8_2,pm_8_3,pm_8_4,mocap_1_x,mocap_1_y,mocap_1_z,mocap_1_qx,mocap_1_qy,mocap_1_qz,mocap_1_qw,mocap_2_x,mocap_2_y,mocap_2_z,mocap_2_qx,mocap_2_qy,mocap_2_qz,mocap_2_qw,mocap_3_x,mocap_3_y,mocap_3_z,mocap_3_qx,mocap_3_qy,mocap_3_qz,mocap_3_qw,mocap_time_rel_s,config_seg1_psi,config_max_psi
0.0,0.015117476,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,0.268,1.230616,0.360468,0.001235,0.00784,0.000879,0.999968,0.239477,1.117706,0.360019,0.002583,0.008916,6e-05,0.999957,0.283155,0.803661,0.378023,0.058886,0.009929,-0.005881,0.998198,0.013431491,2.0,0.0
1.0,0.07162612,2.0,2.0,2.0,2.0,0.73450196,0.6646289,0.00054492,0.05382422,0.00518555,-0.00235547,0.00305859,-0.00247852,0.0094043,0.55100393,0.37889647,0.31791797,0.00625781,-0.00478125,0.00534375,-0.00172266,0.267998,1.230617,0.360469,0.00124,0.007843,0.000879,0.999968,0.239469,1.117707,0.360023,0.002597,0.0089,6.9e-05,0.999957,0.283067,0.80377,0.378136,0.058722,0.009833,-0.005803,0.998209,0.06059631,2.0,0.0
2.0,0.071677394,2.0,2.0,2.0,2.0,0.73450196,0.6646289,0.00054492,0.05382422,0.00518555,-0.00235547,0.00305859,-0.00247852,0.0094043,0.55100393,0.37889647,0.31791797,0.00625781,-0.00478125,0.00534375,-0.00172266,0.267998,1.230617,0.360469,0.00124,0.007843,0.000879,0.999968,0.239469,1.117707,0.360023,0.002597,0.0089,6.9e-05,0.999957,0.283067,0.80377,0.378136,0.058722,0.009833,-0.005803,0.998209,0.06059631,2.0,0.0
3.0,0.07169588,2.0,2.0,2.0,2.0,0.73450196,0.6646289,0.00054492,0.05382422,0.00518555,-0.00235547,0.00305859,-0.00247852,0.0094043,0.55100393,0.37889647,0.31791797,0.00625781,-0.00478125,0.00534375,-0.00172266,0.267998,1.230617,0.360469,0.00124,0.007843,0.000879,0.999968,0.239469,1.117707,0.360023,0.002597,0.0089,6.9e-05,0.999957,0.283067,0.80377,0.378136,0.058722,0.009833,-0.005803,0.998209,0.06059631,2.0,0.0
4.0,0.07171306,2.0,2.0,2.0,2.0,0.73450196,0.6646289,0.00054492,0.05382422,0.00518555,-0.00235547,0.00305859,-0.00247852,0.0094043,0.55100393,0.37889647,0.31791797,0.00625781,-0.00478125,0.00534375,-0.00172266,0.267998,1.230617,0.360469,0.00124,0.007843,0.000879,0.999968,0.239469,1.117707,0.360023,0.002597,0.0089,6.9e-05,0.999957,0.283067,0.80377,0.378136,0.058722,0.009833,-0.005803,0.998209,0.06059631,2.0,0.0
5.0,0.071728446,2.0,2.0,2.0,2.0,0.73450196,0.6646289,0.00054492,0.05382422,0.00518555,-0.00235547,0.00305859,-0.00247852,0.0094043,0.55100393,0.37889647,0.31791797,0.00625781,-0.00478125,0.00534375,-0.00172266,0.267998,1.230617,0.360469,0.00124,0.007843,0.000879,0.999968,0.239469,1.117707,0.360023,0.002597,0.0089,6.9e-05,0.999957,0.283067,0.80377,0.378136,0.058722,0.009833,-0.005803,0.998209,0.06059631,2.0,0.0
6.0,0.07990712,2.0,2.0,2.0,2.0,0.73450196,0.6646289,0.00054492,0.05382422,0.00518555,-0.00235547,0.00305859,-0.00247852,0.0094043,0.55100393,0.37889647,0.31791797,0.00625781,-0.00478125,0.00534375,-0.00172266,0.267998,1.230617,0.360469,0.00124,0.007843,0.000879,0.999968,0.239469,1.117707,0.360023,0.002597,0.0089,6.9e-05,0.999957,0.283067,0.80377,0.378136,0.058722,0.009833,-0.005803,0.998209,0.06059631,2.0,0.0
7.0,0.088810615,2.0,2.0,2.0,2.0,0.73450196,0.6646289,0.00054492,0.05382422,0.00518555,-0.00235547,0.00305859,-0.00247852,0.0094043,0.55100393,0.37889647,0.31791797,0.00625781,-0.00478125,0.00534375,-0.00172266,0.267998,1.230617,0.360469,0.00124,0.007843,0.000879,0.999968,0.239469,1.117707,0.360023,0.002597,0.0089,6.9e-05,0.999957,0.283067,0.80377,0.378136,0.058722,0.009833,-0.005803,0.998209,0.06059631,2.0,0.0
8.0,0.102440365,2.0,2.0,2.0,2.0,0.73450196,0.6646289,0.00054492,0.05382422,0.00518555,-0.00235547,0.00305859,-0.00247852,0.0094043,0.55100393,0.37889647,0.31791797,0.00625781,-0.00478125,0.00534375,-0.00172266,0.267996,1.230614,0.360469,0.001242,0.007838,0.00088,0.999968,0.23947,1.117706,0.360022,0.002569,0.008912,6.1e-05,0.999957,0.28311,0.803812,0.378078,0.058554,0.009905,-0.005953,0.998217,0.08827629,2.0,0.0
9.0,0.1115212,2.0,2.0,2.0,2.0,0.73450196,0.6646289,0.00054492,0.05382422,0.00518555,-0.00235547,0.00305859,-0.00247852,0.0094043,0.55100393,0.37889647,0.31791797,0.00625781,-0.00478125,0.00534375,-0.00172266,0.267996,1.230614,0.360469,0.001242,0.007838,0.00088,0.999968,0.23947,1.117706,0.360022,0.002569,0.008912,6.1e-05,0.999957,0.28311,0.803812,0.378078,0.058554,0.009905,-0.005953,0.998217,0.08827629,2.0,0.0
