step_id,time,Desired_pressure_segment_1,Desired_pressure_segment_2,Desired_pressure_segment_3,Desired_pressure_segment_4,Measured_pressure_Segment_1_pouch_1,Measured_pressure_Segment_1_pouch_2,Measured_pressure_Segment_1_pouch_3,Measured_pressure_Segment_1_pouch_4,Measured_pressure_Segment_1_pouch_5,Measured_pressure_Segment_2,Measured_pressure_Segment_3,Measured_pressure_Segment_4,Rigid_body_1_x,Rigid_body_1_y,Rigid_body_1_z,Rigid_body_1_qx,Rigid_body_1_qy,Rigid_body_1_qz,Rigid_body_1_qw,Rigid_body_2_x,Rigid_body_2_y,Rigid_body_2_z,Rigid_body_2_qx,Rigid_body_2_qy,Rigid_body_2_qz,Rigid_body_2_qw,Rigid_body_3_x,Rigid_body_3_y,Rigid_body_3_z,Rigid_body_3_qx,Rigid_body_3_qy,Rigid_body_3_qz,Rigid_body_3_qw,mocap_time_rel_s
0.0,0.012108252,2.0,2.0,2.0,2.0,,,,,,,,,0.268084,1.230638,0.360437,0.00126,0.007846,0.000937,0.999968,0.239573,1.117738,0.35998,0.002594,0.008936,0.000135,0.999957,0.27988,0.801766,0.375041,0.06981,0.009504,-0.015867,0.997389,-0.001123197
1.0,0.12028892,2.0,2.0,2.0,2.0,0.81573045,0.73304296,-0.00024609,0.04492969,0.02714063,0.5302266,0.3669082,0.32995898,0.268084,1.230636,0.360437,0.001271,0.007845,0.000921,0.999968,0.239577,1.117726,0.35998,0.002602,0.008952,0.000114,0.999957,0.279811,0.801997,0.375137,0.069255,0.009419,-0.016016,0.997426,0.104410104
2.0,0.12033206,2.0,2.0,2.0,2.0,0.81573045,0.73304296,-0.00024609,0.04492969,0.02714063,0.5302266,0.3669082,0.32995898,0.268084,1.230636,0.360437,0.001271,0.007845,0.000921,0.999968,0.239577,1.117726,0.35998,0.002602,0.008952,0.000114,0.999957,0.279811,0.801997,0.375137,0.069255,0.009419,-0.016016,0.997426,0.104410104
3.0,0.12035529,2.0,2.0,2.0,2.0,0.81573045,0.73304296,-0.00024609,0.04492969,0.02714063,0.5302266,0.3669082,0.32995898,0.268084,1.230636,0.360437,0.001271,0.007845,0.000921,0.999968,0.239577,1.117726,0.35998,0.002602,0.008952,0.000114,0.999957,0.279811,0.801997,0.375137,0.069255,0.009419,-0.016016,0.997426,0.104410104
4.0,0.12037708,2.0,2.0,2.0,2.0,0.81573045,0.73304296,-0.00024609,0.04492969,0.02714063,0.5302266,0.3669082,0.32995898,0.268084,1.230636,0.360437,0.001271,0.007845,0.000921,0.999968,0.239577,1.117726,0.35998,0.002602,0.008952,0.000114,0.999957,0.279811,0.801997,0.375137,0.069255,0.009419,-0.016016,0.997426,0.104410104
5.0,0.120408855,2.0,2.0,2.0,2.0,0.81573045,0.73304296,-0.00024609,0.04492969,0.02714063,0.5302266,0.3669082,0.32995898,0.268084,1.230636,0.360437,0.001271,0.007845,0.000921,0.999968,0.239577,1.117726,0.35998,0.002602,0.008952,0.000114,0.999957,0.279811,0.801997,0.375137,0.069255,0.009419,-0.016016,0.997426,0.104410104
6.0,0.12043086,2.0,2.0,2.0,2.0,0.81573045,0.73304296,-0.00024609,0.04492969,0.02714063,0.5302266,0.3669082,0.32995898,0.268084,1.230636,0.360437,0.001271,0.007845,0.000921,0.999968,0.239577,1.117726,0.35998,0.002602,0.008952,0.000114,0.999957,0.279811,0.801997,0.375137,0.069255,0.009419,-0.016016,0.997426,0.104410104
7.0,0.12045138,2.0,2.0,2.0,2.0,0.81573045,0.73304296,-0.00024609,0.04492969,0.02714063,0.5302266,0.3669082,0.32995898,0.268084,1.230636,0.360437,0.001271,0.007845,0.000921,0.999968,0.239577,1.117726,0.35998,0.002602,0.008952,0.000114,0.999957,0.279811,0.801997,0.375137,0.069255,0.009419,-0.016016,0.997426,0.104410104
8.0,0.12048247,2.0,2.0,2.0,2.0,0.81573045,0.73304296,-0.00024609,0.04492969,0.02714063,0.5302266,0.3669082,0.32995898,0.268084,1.230636,0.360437,0.001271,0.007845,0.000921,0.999968,0.239577,1.117726,0.35998,0.002602,0.008952,0.000114,0.999957,0.279811,0.801997,0.375137,0.069255,0.009419,-0.016016,0.997426,0.104410104
9.0,0.12051211,2.0,2.0,2.0,2.0,0.81573045,0.73304296,-0.00024609,0.04492969,0.02714063,0.5302266,0.3669082,0.32995898,0.268084,1.230636,0.360437,0.001271,0.007845,0.000921,0.999968,0.239577,1.117726,0.35998,0.002602,0.008952,0.000114,0.999957,0.279811,0.801997,0.375137,0.069255,0.009419,-0.016016,0.997426,0.104410104
