step_id,time,Desired_pressure_segment_1,Desired_pressure_segment_2,Desired_pressure_segment_3,Desired_pressure_segment_4,Measured_pressure_Segment_1_pouch_1,Measured_pressure_Segment_1_pouch_2,Measured_pressure_Segment_1_pouch_3,Measured_pressure_Segment_1_pouch_4,Measured_pressure_Segment_1_pouch_5,Measured_pressure_Segment_2,Measured_pressure_Segment_3,Measured_pressure_Segment_4,Rigid_body_1_x,Rigid_body_1_y,Rigid_body_1_z,Rigid_body_1_qx,Rigid_body_1_qy,Rigid_body_1_qz,Rigid_body_1_qw,Rigid_body_2_x,Rigid_body_2_y,Rigid_body_2_z,Rigid_body_2_qx,Rigid_body_2_qy,Rigid_body_2_qz,Rigid_body_2_qw,Rigid_body_3_x,Rigid_body_3_y,Rigid_body_3_z,Rigid_body_3_qx,Rigid_body_3_qy,Rigid_body_3_qz,Rigid_body_3_qw,mocap_time_rel_s
0.0,0.005601105,2.0,2.0,2.0,2.0,,,,,,,,,0.267707,1.230477,0.360705,0.001096,0.007594,0.000625,0.99997,0.239192,1.117612,0.360267,0.002417,0.008735,-0.000328,0.999959,0.280651,0.803486,0.376126,-0.969124,-0.070487,0.225528,0.070479,-0.007705264
1.0,0.037616666,2.0,2.0,2.0,2.0,,,,,,,,,0.267706,1.230477,0.360704,0.001101,0.007592,0.000626,0.99997,0.239193,1.117614,0.360271,0.002425,0.008716,-0.000315,0.999959,0.280629,0.803529,0.376149,-0.969139,-0.070406,0.22552,0.07038,0.014744652
2.0,0.037669174,2.0,2.0,2.0,2.0,,,,,,,,,0.267706,1.230477,0.360704,0.001101,0.007592,0.000626,0.99997,0.239193,1.117614,0.360271,0.002425,0.008716,-0.000315,0.999959,0.280629,0.803529,0.376149,-0.969139,-0.070406,0.22552,0.07038,0.014744652
3.0,0.03768674,2.0,2.0,2.0,2.0,,,,,,,,,0.267706,1.230477,0.360704,0.001101,0.007592,0.000626,0.99997,0.239193,1.117614,0.360271,0.002425,0.008716,-0.000315,0.999959,0.280629,0.803529,0.376149,-0.969139,-0.070406,0.22552,0.07038,0.014744652
4.0,0.04819981,2.0,2.0,2.0,2.0,,,,,,,,,0.267706,1.230477,0.360704,0.001101,0.007592,0.000626,0.99997,0.239193,1.117614,0.360271,0.002425,0.008716,-0.000315,0.999959,0.280629,0.803529,0.376149,-0.969139,-0.070406,0.22552,0.07038,0.014744652
5.0,0.060246106,2.0,2.0,2.0,2.0,,,,,,,,,0.267709,1.230481,0.360704,0.001099,0.007589,0.000623,0.99997,0.239191,1.117615,0.360268,0.002426,0.008733,-0.000318,0.999959,0.280597,0.803612,0.376181,-0.969148,-0.070406,0.225517,0.070264,0.048039112
6.0,0.081342116,2.0,2.0,2.0,2.0,,,,,,,,,0.267709,1.230481,0.360704,0.001099,0.007589,0.000623,0.99997,0.239191,1.117615,0.360268,0.002426,0.008733,-0.000318,0.999959,0.280597,0.803612,0.376181,-0.969148,-0.070406,0.225517,0.070264,0.048039112
7.0,0.08149066,2.0,2.0,2.0,2.0,,,,,,,,,0.267709,1.230481,0.360704,0.001099,0.007589,0.000623,0.99997,0.239191,1.117615,0.360268,0.002426,0.008733,-0.000318,0.999959,0.280597,0.803612,0.376181,-0.969148,-0.070406,0.225517,0.070264,0.048039112
8.0,0.092235275,2.0,2.0,2.0,2.0,0.74415237,0.6807832,-0.00300586,0.04150195,0.02865234,0.5813086,0.36845508,0.32637304,0.267709,1.230479,0.360703,0.001094,0.007597,0.000624,0.99997,0.239197,1.117616,0.36027,0.002434,0.008724,-0.000308,0.999959,0.280573,0.803677,0.376214,-0.969171,-0.070289,0.225509,0.070088,0.081757255
9.0,0.10236641,2.0,2.0,2.0,2.0,0.74415237,0.6807832,-0.00300586,0.04150195,0.02865234,0.5813086,0.36845508,0.32637304,0.267709,1.230479,0.360702,0.001102,0.007598,0.000624,0.99997,0.239197,1.117619,0.360271,0.002432,0.008714,-0.000306,0.999959,0.280539,0.80378,0.376259,-0.969194,-0.070189,0.225507,0.069882,0.09272449
10.0,0.11132652,2.0,2.0,2.0,2.0,0.74415237,0.6807832,-0.00300586,0.04150195,0.02865234,0.5813086,0.36845508,0.32637304,0.267709,1.230479,0.360702,0.001102,0.007598,0.000624,0.99997,0.239197,1.117619,0.360271,0.002432,0.008714,-0.000306,0.999959,0.280539,0.80378,0.376259,-0.969194,-0.070189,0.225507,0.069882,0.09272449
11.0,0.122282006,2.0,2.0,2.0,2.0,0.74415237,0.6807832,-0.00300586,0.04150195,0.02865234,0.5813086,0.36845508,0.32637304,0.267709,1.230479,0.360702,0.001102,0.007598,0.000624,0.99997,0.239197,1.117619,0.360271,0.002432,0.008714,-0.000306,0.999959,0.280539,0.80378,0.376259,-0.969194,-0.070189,0.225507,0.069882,0.09272449
12.0,0.13135442,2.0,2.0,2.0,2.0,0.74415237,0.6807832,-0.00300586,0.04150195,0.02865234,0.5813086,0.36845508,0.32637304,0.267709,1.230479,0.360702,0.001102,0.007598,0.000624,0.99997,0.239197,1.117619,0.360271,0.002432,0.008714,-0.000306,0.999959,0.280539,0.80378,0.376259,-0.969194,-0.070189,0.225507,0.069882,0.09272449
13.0,0.13786514,2.0,2.0,2.0,2.0,0.74415237,0.6807832,-0.00300586,0.04150195,0.02865234,0.5813086,0.36845508,0.32637304,0.267711,1.23048,0.360703,0.0011,0.007597,0.000626,0.99997,0.239193,1.117614,0.360271,0.002429,0.008727,-0.000318,0.999959,0.280532,0.803822,0.37628,-0.969207,-0.07012,0.225504,0.069772,0.13126332
14.0,0.14836043,2.0,2.0,2.0,2.0,0.7371211,0.6807832,0.00261914,0.0400957,0.01740234,0.54333985,0.36001757,0.31512305,0.267711,1.23048,0.360703,0.0011,0.007597,0.000626,0.99997,0.239193,1.117614,0.360271,0.002429,0.008727,-0.000318,0.999959,0.280532,0.803822,0.37628,-0.969207,-0.07012,0.225504,0.069772,0.13126332
15.0,0.15931243,2.0,2.0,2.0,2.0,0.7371211,0.6807832,0.00261914,0.0400957,0.01740234,0.54333985,0.36001757,0.31512305,0.267711,1.23048,0.360703,0.0011,0.007597,0.000626,0.99997,0.239193,1.117614,0.360271,0.002429,0.008727,-0.000318,0.999959,0.280532,0.803822,0.37628,-0.969207,-0.07012,0.225504,0.069772,0.13126332
16.0,0.16830675,2.0,2.0,2.0,2.0,0.7371211,0.6807832,0.00261914,0.0400957,0.01740234,0.54333985,0.36001757,0.31512305,0.267711,1.23048,0.360703,0.0011,0.007597,0.000626,0.99997,0.239193,1.117614,0.360271,0.002429,0.008727,-0.000318,0.999959,0.280532,0.803822,0.37628,-0.969207,-0.07012,0.225504,0.069772,0.13126332
17.0,0.17616862,2.0,2.0,2.0,2.0,0.7371211,0.6807832,0.00261914,0.0400957,0.01740234,0.54333985,0.36001757,0.31512305,0.267709,1.230478,0.360705,0.001092,0.007599,0.000627,0.99997,0.239198,1.117619,0.36027,0.002436,0.008698,-0.00033,0.999959,0.280496,0.803836,0.376326,-0.96924,-0.069882,0.225492,0.069597,0.16908363
18.0,0.18568835,2.0,2.0,2.0,2.0,0.7371211,0.6807832,0.00261914,0.0400957,0.01740234,0.54333985,0.36001757,0.31512305,0.267712,1.23048,0.360706,0.001097,0.007593,0.000622,0.99997,0.239188,1.117615,0.360272,0.00243,0.008707,-0.000311,0.999959,0.280488,0.803883,0.376354,-0.969239,-0.069907,0.225528,0.069475,0.18122253
19.0,0.19571956,2.0,2.0,2.0,2.0,0.7371211,0.6807832,0.00261914,0.0400957,0.01740234,0.54333985,0.36001757,0.31512305,0.267709,1.230478,0.360705,0.001103,0.007595,0.000627,0.99997,0.239191,1.117618,0.360274,0.002446,0.00871,-0.000306,0.999959,0.280497,0.803947,0.376381,-0.969237,-0.070012,0.22554,0.069358,0.1917371
20.0,0.20572497,2.0,2.0,2.0,2.0,0.7371211,0.6807832,0.00261914,0.0400957,0.01740234,0.54333985,0.36001757,0.31512305,0.267709,1.230478,0.360705,0.001103,0.007595,0.000627,0.99997,0.239191,1.117618,0.360274,0.002446,0.00871,-0.000306,0.999959,0.280497,0.803947,0.376381,-0.969237,-0.070012,0.22554,0.069358,0.1917371
21.0,0.21673615,2.0,2.0,2.0,2.0,0.73852736,0.67093945,0.00402539,0.0316582,0.01740234,0.56162107,0.35861132,0.31512305,0.267709,1.230478,0.360705,0.001103,0.007595,0.000627,0.99997,0.239191,1.117618,0.360274,0.002446,0.00871,-0.000306,0.999959,0.280497,0.803947,0.376381,-0.969237,-0.070012,0.22554,0.069358,0.1917371
22.0,0.23144664,2.0,2.0,2.0,2.0,0.73852736,0.67093945,0.00402539,0.0316582,0.01740234,0.56162107,0.35861132,0.31512305,0.26771,1.23048,0.360705,0.001101,0.007591,0.000626,0.99997,0.239187,1.117617,0.36027,0.002435,0.008706,-0.000312,0.999959,0.280498,0.803958,0.376385,-0.969234,-0.070047,0.225547,0.069339,0.2213345
23.0,0.23571423,2.0,2.0,2.0,2.0,0.73852736,0.67093945,0.00402539,0.0316582,0.01740234,0.56162107,0.35861132,0.31512305,0.267707,1.230481,0.360703,0.001104,0.007594,0.000626,0.99997,0.239201,1.117614,0.36027,0.002444,0.008727,-0.000326,0.999959,0.280516,0.803975,0.376406,-0.969238,-0.070062,0.225556,0.069234,0.23151852
24.0,0.2470983,2.0,2.0,2.0,2.0,0.73852736,0.67093945,0.00402539,0.0316582,0.01740234,0.56162107,0.35861132,0.31512305,0.267707,1.230481,0.360703,0.001104,0.007594,0.000626,0.99997,0.239201,1.117614,0.36027,0.002444,0.008727,-0.000326,0.999959,0.280516,0.803975,0.376406,-0.969238,-0.070062,0.225556,0.069234,0.23151852
25.0,0.2584496,2.0,2.0,2.0,2.0,0.73852736,0.67093945,0.00402539,0.0316582,0.01740234,0.56162107,0.35861132,0.31512305,0.267707,1.23048,0.360706,0.001102,0.007596,0.000628,0.99997,0.239192,1.117618,0.360271,0.002453,0.008727,-0.00029,0.999959,0.280519,0.803988,0.376417,-0.969235,-0.070096,0.225563,0.069215,0.2581252
26.0,0.270799,2.0,2.0,2.0,2.0,0.73852736,0.67093945,0.00402539,0.0316582,0.01740234,0.56162107,0.35861132,0.31512305,0.267707,1.23048,0.360706,0.001102,0.007596,0.000628,0.99997,0.239192,1.117618,0.360271,0.002453,0.008727,-0.00029,0.999959,0.280519,0.803988,0.376417,-0.969235,-0.070096,0.225563,0.069215,0.2581252
