time,col0_lv0,col0_lv1,col0_lv2,col0_lv3,col0_lv4,col1_lv0,col1_lv1,col1_lv2,col1_lv3,col1_lv4,col2_lv0,col2_lv1,col2_lv2,col2_lv3,col2_lv4,col3_lv0,col3_lv1,col3_lv2,col3_lv3,col3_lv4
0.010000,4.7000,4.7000,4.7000,4.7000,4.7000,3.2000,3.2000,3.2000,3.2000,3.2000,1.7000,1.7000,1.7000,1.7000,1.7000,3.2000,3.2000,3.2000,3.2000,3.2000
0.020000,4.6995,4.6995,4.6995,4.6995,4.6995,3.2377,3.2377,3.2377,3.2377,3.2377,1.7005,1.7005,1.7005,1.7005,1.7005,3.1623,3.1623,3.1623,3.1623,3.1623
0.030000,4.6981,4.6981,4.6981,4.6981,4.6981,3.2754,3.2754,3.2754,3.2754,3.2754,1.7019,1.7019,1.7019,1.7019,1.7019,3.1246,3.1246,3.1246,3.1246,3.1246
0.040000,4.6957,4.6957,4.6957,4.6957,4.6957,3.3130,3.3130,3.3130,3.3130,3.3130,1.7043,1.7043,1.7043,1.7043,1.7043,3.0870,3.0870,3.0870,3.0870,3.0870
0.050000,4.6924,4.6924,4.6924,4.6924,4.6924,3.3505,3.3505,3.3505,3.3505,3.3505,1.7076,1.7076,1.7076,1.7076,1.7076,3.0495,3.0495,3.0495,3.0495,3.0495
0.060000,4.6882,4.6882,4.6882,4.6882,4.6882,3.3880,3.3880,3.3880,3.3880,3.3880,1.7118,1.7118,1.7118,1.7118,1.7118,3.0120,3.0120,3.0120,3.0120,3.0120
0.070000,4.6830,4.6830,4.6830,4.6830,4.6830,3.4253,3.4253,3.4253,3.4253,3.4253,1.7170,1.7170,1.7170,1.7170,1.7170,2.9747,2.9747,2.9747,2.9747,2.9747
0.080000,4.6768,4.6768,4.6768,4.6768,4.6768,3.4625,3.4625,3.4625,3.4625,3.4625,1.7232,1.7232,1.7232,1.7232,1.7232,2.9375,2.9375,2.9375,2.9375,2.9375
0.090000,4.6698,4.6698,4.6698,4.6698,4.6698,3.4996,3.4996,3.4996,3.4996,3.4996,1.7302,1.7302,1.7302,1.7302,1.7302,2.9004,2.9004,2.9004,2.9004,2.9004
0.100000,4.6618,4.6618,4.6618,4.6618,4.6618,3.5364,3.5364,3.5364,3.5364,3.5364,1.7382,1.7382,1.7382,1.7382,1.7382,2.8636,2.8636,2.8636,2.8636,2.8636
