time,col0_lv0,col0_lv1,col0_lv2,col0_lv3,col0_lv4,col1_lv0,col1_lv1,col1_lv2,col1_lv3,col1_lv4,col2_lv0,col2_lv1,col2_lv2,col2_lv3,col2_lv4,col3_lv0,col3_lv1,col3_lv2,col3_lv3,col3_lv4
0.010000,3.7000,3.7000,3.7000,3.7000,3.7000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000
0.020000,3.6868,3.6868,3.6868,3.6868,3.6868,1.5076,1.5076,1.5076,1.5076,1.5076,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000
0.030000,3.6736,3.6736,3.6736,3.6736,3.6736,1.5152,1.5152,1.5152,1.5152,1.5152,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000
0.040000,3.6604,3.6604,3.6604,3.6604,3.6604,1.5229,1.5229,1.5229,1.5229,1.5229,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000
0.050000,3.6472,3.6472,3.6472,3.6472,3.6472,1.5305,1.5305,1.5305,1.5305,1.5305,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000
0.060000,3.6340,3.6340,3.6340,3.6340,3.6340,1.5381,1.5381,1.5381,1.5381,1.5381,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000
0.070000,3.6208,3.6208,3.6208,3.6208,3.6208,1.5457,1.5457,1.5457,1.5457,1.5457,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000
0.080000,3.6076,3.6076,3.6076,3.6076,3.6076,1.5533,1.5533,1.5533,1.5533,1.5533,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000
0.090000,3.5944,3.5944,3.5944,3.5944,3.5944,1.5610,1.5610,1.5610,1.5610,1.5610,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000
0.100000,3.5812,3.5812,3.5812,3.5812,3.5812,1.5686,1.5686,1.5686,1.5686,1.5686,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000
0.110000,3.5680,3.5680,3.5680,3.5680,3.5680,1.5762,1.5762,1.5762,1.5762,1.5762,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000
0.120000,3.5548,3.5548,3.5548,3.5548,3.5548,1.5838,1.5838,1.5838,1.5838,1.5838,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000
